#ADAS data from Martin O'Mullane at n_e = 10^19 m^-3
#T[keV]  Lz[W m^3]  Z_av
1.00e-03  3.55e-35  5.27e-01
1.12e-03  6.59e-35  7.99e-01
1.26e-03  1.32e-34  9.25e-01
1.42e-03  2.70e-34  9.72e-01
1.59e-03  5.22e-34  9.91e-01
1.79e-03  9.40e-34  1.01e+00
2.01e-03  1.58e-33  1.06e+00
2.26e-03  2.53e-33  1.21e+00
2.54e-03  3.94e-33  1.48e+00
2.85e-03  6.01e-33  1.73e+00
3.20e-03  8.84e-33  1.88e+00
3.59e-03  1.24e-32  1.95e+00
4.04e-03  1.69e-32  2.00e+00
4.53e-03  2.28e-32  2.07e+00
5.09e-03  3.07e-32  2.21e+00
5.72e-03  4.05e-32  2.45e+00
6.43e-03  4.94e-32  2.71e+00
7.22e-03  5.32e-32  2.94e+00
8.11e-03  4.82e-32  3.20e+00
9.11e-03  3.53e-32  3.48e+00
1.02e-02  2.14e-32  3.71e+00
1.15e-02  1.17e-32  3.85e+00
1.29e-02  6.32e-33  3.92e+00
1.45e-02  3.47e-33  3.96e+00
1.63e-02  1.98e-33  3.98e+00
1.83e-02  1.18e-33  3.99e+00
2.06e-02  7.36e-34  3.99e+00
2.31e-02  4.80e-34  4.00e+00
2.60e-02  3.28e-34  4.00e+00
2.92e-02  2.36e-34  4.00e+00
3.27e-02  1.82e-34  4.00e+00
3.68e-02  1.55e-34  4.00e+00
4.13e-02  1.54e-34  4.01e+00
4.64e-02  1.80e-34  4.04e+00
5.21e-02  2.40e-34  4.11e+00
5.86e-02  3.28e-34  4.22e+00
6.58e-02  4.32e-34  4.40e+00
7.39e-02  5.37e-34  4.61e+00
8.30e-02  6.32e-34  4.85e+00
9.33e-02  6.96e-34  5.10e+00
1.05e-01  7.04e-34  5.35e+00
1.18e-01  6.52e-34  5.57e+00
1.32e-01  5.67e-34  5.72e+00
1.48e-01  4.76e-34  5.83e+00
1.67e-01  3.94e-34  5.89e+00
1.87e-01  3.25e-34  5.93e+00
2.10e-01  2.71e-34  5.95e+00
2.36e-01  2.29e-34  5.97e+00
2.66e-01  1.96e-34  5.98e+00
2.98e-01  1.69e-34  5.98e+00
3.35e-01  1.49e-34  5.99e+00
3.76e-01  1.32e-34  5.99e+00
4.23e-01  1.18e-34  5.99e+00
4.75e-01  1.07e-34  6.00e+00
5.34e-01  9.71e-35  6.00e+00
5.99e-01  8.91e-35  6.00e+00
6.73e-01  8.24e-35  6.00e+00
7.56e-01  7.70e-35  6.00e+00
8.50e-01  7.26e-35  6.00e+00
9.55e-01  6.89e-35  6.00e+00
1.07e+00  6.60e-35  6.00e+00
1.20e+00  6.36e-35  6.00e+00
1.35e+00  6.18e-35  6.00e+00
1.52e+00  6.04e-35  6.00e+00
1.71e+00  5.95e-35  6.00e+00
1.92e+00  5.89e-35  6.00e+00
2.15e+00  5.87e-35  6.00e+00
2.42e+00  5.89e-35  6.00e+00
2.72e+00  5.93e-35  6.00e+00
3.05e+00  6.00e-35  6.00e+00
3.43e+00  6.09e-35  6.00e+00
3.85e+00  6.20e-35  6.00e+00
4.33e+00  6.33e-35  6.00e+00
4.86e+00  6.49e-35  6.00e+00
5.46e+00  6.68e-35  6.00e+00
6.14e+00  6.88e-35  6.00e+00
6.89e+00  7.11e-35  6.00e+00
7.74e+00  7.36e-35  6.00e+00
8.70e+00  7.63e-35  6.00e+00
9.77e+00  7.91e-35  6.00e+00
1.10e+01  8.21e-35  6.00e+00
1.23e+01  8.53e-35  6.00e+00
1.38e+01  8.86e-35  6.00e+00
1.56e+01  9.20e-35  6.00e+00
1.75e+01  9.56e-35  6.00e+00
1.96e+01  9.94e-35  6.00e+00
2.21e+01  1.03e-34  6.00e+00
2.48e+01  1.07e-34  6.00e+00
2.78e+01  1.12e-34  6.00e+00
3.13e+01  1.16e-34  6.00e+00
3.51e+01  1.21e-34  6.00e+00
3.94e+01  1.26e-34  6.00e+00
4.43e+01  1.31e-34  6.00e+00
4.98e+01  1.36e-34  6.00e+00
5.59e+01  1.42e-34  6.00e+00
6.28e+01  1.47e-34  6.00e+00
7.05e+01  1.53e-34  6.00e+00
7.92e+01  1.59e-34  6.00e+00
8.90e+01  1.66e-34  6.00e+00
1.00e+02  1.73e-34  6.00e+00
