#ADAS data from Martin O'Mullane at n_e = 10^19 m^-3
#T[keV]  Lz[W m^3]  Z_av
1.00e-03  5.58e-36  1.12e-01
1.12e-03  1.31e-35  3.95e-01
1.26e-03  2.37e-35  7.40e-01
1.42e-03  4.45e-35  9.13e-01
1.59e-03  9.11e-35  9.71e-01
1.79e-03  1.85e-34  9.90e-01
2.01e-03  3.56e-34  9.97e-01
2.26e-03  6.45e-34  1.01e+00
2.54e-03  1.11e-33  1.03e+00
2.85e-03  1.84e-33  1.12e+00
3.20e-03  3.02e-33  1.32e+00
3.59e-03  4.81e-33  1.58e+00
4.04e-03  7.19e-33  1.79e+00
4.53e-03  1.01e-32  1.94e+00
5.09e-03  1.36e-32  2.10e+00
5.72e-03  1.77e-32  2.33e+00
6.43e-03  2.24e-32  2.58e+00
7.22e-03  2.77e-32  2.79e+00
8.11e-03  3.38e-32  2.96e+00
9.11e-03  4.08e-32  3.15e+00
1.02e-02  4.74e-32  3.41e+00
1.15e-02  4.96e-32  3.76e+00
1.29e-02  4.35e-32  4.13e+00
1.45e-02  3.12e-32  4.46e+00
1.63e-02  1.95e-32  4.70e+00
1.83e-02  1.14e-32  4.83e+00
2.06e-02  6.56e-33  4.91e+00
2.31e-02  3.84e-33  4.95e+00
2.60e-02  2.31e-33  4.97e+00
2.92e-02  1.45e-33  4.98e+00
3.27e-02  9.44e-34  4.99e+00
3.68e-02  6.43e-34  4.99e+00
4.13e-02  4.60e-34  5.00e+00
4.64e-02  3.49e-34  5.00e+00
5.21e-02  2.86e-34  5.00e+00
5.86e-02  2.63e-34  5.00e+00
6.58e-02  2.80e-34  5.02e+00
7.39e-02  3.43e-34  5.05e+00
8.30e-02  4.56e-34  5.11e+00
9.33e-02  6.11e-34  5.23e+00
1.05e-01  7.86e-34  5.39e+00
1.18e-01  9.52e-34  5.61e+00
1.32e-01  1.07e-33  5.86e+00
1.48e-01  1.11e-33  6.12e+00
1.67e-01  1.05e-33  6.38e+00
1.87e-01  9.27e-34  6.58e+00
2.10e-01  7.86e-34  6.73e+00
2.36e-01  6.56e-34  6.82e+00
2.66e-01  5.46e-34  6.88e+00
2.98e-01  4.57e-34  6.92e+00
3.35e-01  3.85e-34  6.95e+00
3.76e-01  3.27e-34  6.96e+00
4.23e-01  2.81e-34  6.97e+00
4.75e-01  2.44e-34  6.98e+00
5.34e-01  2.14e-34  6.98e+00
5.99e-01  1.90e-34  6.99e+00
6.73e-01  1.70e-34  6.99e+00
7.56e-01  1.54e-34  6.99e+00
8.50e-01  1.41e-34  6.99e+00
9.55e-01  1.31e-34  7.00e+00
1.07e+00  1.22e-34  7.00e+00
1.20e+00  1.15e-34  7.00e+00
1.35e+00  1.09e-34  7.00e+00
1.52e+00  1.04e-34  7.00e+00
1.71e+00  1.01e-34  7.00e+00
1.92e+00  9.79e-35  7.00e+00
2.15e+00  9.59e-35  7.00e+00
2.42e+00  9.46e-35  7.00e+00
2.72e+00  9.38e-35  7.00e+00
3.05e+00  9.36e-35  7.00e+00
3.43e+00  9.39e-35  7.00e+00
3.85e+00  9.47e-35  7.00e+00
4.33e+00  9.59e-35  7.00e+00
4.86e+00  9.74e-35  7.00e+00
5.46e+00  9.93e-35  7.00e+00
6.14e+00  1.02e-34  7.00e+00
6.89e+00  1.04e-34  7.00e+00
7.74e+00  1.07e-34  7.00e+00
8.70e+00  1.11e-34  7.00e+00
9.77e+00  1.15e-34  7.00e+00
1.10e+01  1.19e-34  7.00e+00
1.23e+01  1.23e-34  7.00e+00
1.38e+01  1.27e-34  7.00e+00
1.56e+01  1.32e-34  7.00e+00
1.75e+01  1.36e-34  7.00e+00
1.96e+01  1.41e-34  7.00e+00
2.21e+01  1.47e-34  7.00e+00
2.48e+01  1.52e-34  7.00e+00
2.78e+01  1.58e-34  7.00e+00
3.13e+01  1.63e-34  7.00e+00
3.51e+01  1.70e-34  7.00e+00
3.94e+01  1.76e-34  7.00e+00
4.43e+01  1.83e-34  7.00e+00
4.98e+01  1.90e-34  7.00e+00
5.59e+01  1.97e-34  7.00e+00
6.28e+01  2.04e-34  7.00e+00
7.05e+01  2.12e-34  7.00e+00
7.92e+01  2.20e-34  7.00e+00
8.90e+01  2.28e-34  7.00e+00
1.00e+02  2.37e-34  7.00e+00
