Mean charge during dwell time tau at ne=1E20m**-3 and Te[1-10000eV]
** <Z>
ne=1E20m**-3
     200           5 # of Te values, dwell times
Te[eV]
 1.000e+00 1.047e+00 1.097e+00 1.149e+00 1.203e+00 1.260e+00 1.320e+00 1.383e+00
 1.448e+00 1.517e+00 1.589e+00 1.664e+00 1.743e+00 1.825e+00 1.912e+00 2.002e+00
 2.097e+00 2.196e+00 2.300e+00 2.409e+00 2.524e+00 2.643e+00 2.768e+00 2.899e+00
 3.037e+00 3.181e+00 3.331e+00 3.489e+00 3.654e+00 3.827e+00 4.009e+00 4.199e+00
 4.398e+00 4.606e+00 4.824e+00 5.053e+00 5.292e+00 5.543e+00 5.805e+00 6.080e+00
 6.368e+00 6.670e+00 6.986e+00 7.317e+00 7.663e+00 8.026e+00 8.407e+00 8.805e+00
 9.222e+00 9.659e+00 1.012e+01 1.060e+01 1.110e+01 1.162e+01 1.217e+01 1.275e+01
 1.335e+01 1.399e+01 1.465e+01 1.534e+01 1.607e+01 1.683e+01 1.763e+01 1.846e+01
 1.934e+01 2.026e+01 2.121e+01 2.222e+01 2.327e+01 2.437e+01 2.553e+01 2.674e+01
 2.801e+01 2.933e+01 3.072e+01 3.218e+01 3.370e+01 3.530e+01 3.697e+01 3.872e+01
 4.055e+01 4.248e+01 4.449e+01 4.660e+01 4.880e+01 5.111e+01 5.354e+01 5.607e+01
 5.873e+01 6.151e+01 6.442e+01 6.748e+01 7.067e+01 7.402e+01 7.753e+01 8.120e+01
 8.504e+01 8.907e+01 9.329e+01 9.771e+01 1.023e+02 1.072e+02 1.123e+02 1.176e+02
 1.232e+02 1.290e+02 1.351e+02 1.415e+02 1.482e+02 1.552e+02 1.626e+02 1.703e+02
 1.783e+02 1.868e+02 1.956e+02 2.049e+02 2.146e+02 2.248e+02 2.354e+02 2.466e+02
 2.583e+02 2.705e+02 2.833e+02 2.967e+02 3.108e+02 3.255e+02 3.409e+02 3.571e+02
 3.740e+02 3.917e+02 4.103e+02 4.297e+02 4.501e+02 4.714e+02 4.937e+02 5.171e+02
 5.416e+02 5.672e+02 5.941e+02 6.223e+02 6.517e+02 6.826e+02 7.149e+02 7.488e+02
 7.843e+02 8.214e+02 8.603e+02 9.011e+02 9.438e+02 9.885e+02 1.035e+03 1.084e+03
 1.136e+03 1.190e+03 1.246e+03 1.305e+03 1.367e+03 1.431e+03 1.499e+03 1.570e+03
 1.645e+03 1.723e+03 1.804e+03 1.890e+03 1.979e+03 2.073e+03 2.171e+03 2.274e+03
 2.382e+03 2.495e+03 2.613e+03 2.736e+03 2.866e+03 3.002e+03 3.144e+03 3.293e+03
 3.449e+03 3.612e+03 3.783e+03 3.963e+03 4.150e+03 4.347e+03 4.553e+03 4.769e+03
 4.995e+03 5.231e+03 5.479e+03 5.738e+03 6.010e+03 6.295e+03 6.593e+03 6.906e+03
 7.233e+03 7.575e+03 7.934e+03 8.310e+03 8.704e+03 9.116e+03 9.548e+03 1.000e+04
Z for tau[ms]=    0.1
 2.429e-03 3.864e-03 6.127e-03 9.706e-03 1.536e-02 2.424e-02 3.812e-02 5.963e-02
 9.246e-02 1.372e-01 1.816e-01 2.375e-01 3.058e-01 3.861e-01 4.756e-01 5.690e-01
 6.329e-01 6.930e-01 7.473e-01 7.945e-01 8.343e-01 8.673e-01 8.944e-01 9.171e-01
 9.350e-01 9.469e-01 9.587e-01 9.708e-01 9.840e-01 9.992e-01 1.018e+00 1.041e+00
 1.070e+00 1.108e+00 1.157e+00 1.215e+00 1.266e+00 1.324e+00 1.388e+00 1.459e+00
 1.535e+00 1.614e+00 1.695e+00 1.757e+00 1.819e+00 1.882e+00 1.949e+00 2.020e+00
 2.098e+00 2.182e+00 2.266e+00 2.333e+00 2.402e+00 2.473e+00 2.544e+00 2.616e+00
 2.687e+00 2.758e+00 2.829e+00 2.894e+00 2.950e+00 3.009e+00 3.072e+00 3.139e+00
 3.212e+00 3.285e+00 3.345e+00 3.409e+00 3.475e+00 3.544e+00 3.615e+00 3.689e+00
 3.764e+00 3.842e+00 3.907e+00 3.959e+00 4.012e+00 4.066e+00 4.119e+00 4.173e+00
 4.226e+00 4.278e+00 4.329e+00 4.379e+00 4.428e+00 4.467e+00 4.497e+00 4.525e+00
 4.553e+00 4.579e+00 4.604e+00 4.628e+00 4.650e+00 4.665e+00 4.680e+00 4.695e+00
 4.708e+00 4.721e+00 4.734e+00 4.746e+00 4.757e+00 4.765e+00 4.773e+00 4.781e+00
 4.789e+00 4.797e+00 4.805e+00 4.814e+00 4.822e+00 4.830e+00 4.837e+00 4.845e+00
 4.853e+00 4.862e+00 4.871e+00 4.881e+00 4.889e+00 4.898e+00 4.908e+00 4.919e+00
 4.931e+00 4.944e+00 4.959e+00 4.975e+00 4.988e+00 5.000e+00 5.013e+00 5.027e+00
 5.041e+00 5.057e+00 5.074e+00 5.091e+00 5.110e+00 5.130e+00 5.152e+00 5.169e+00
 5.184e+00 5.200e+00 5.217e+00 5.235e+00 5.253e+00 5.271e+00 5.288e+00 5.302e+00
 5.316e+00 5.331e+00 5.346e+00 5.361e+00 5.377e+00 5.393e+00 5.405e+00 5.416e+00
 5.427e+00 5.438e+00 5.449e+00 5.461e+00 5.472e+00 5.484e+00 5.496e+00 5.503e+00
 5.511e+00 5.518e+00 5.525e+00 5.533e+00 5.540e+00 5.545e+00 5.550e+00 5.555e+00
 5.559e+00 5.564e+00 5.569e+00 5.574e+00 5.578e+00 5.583e+00 5.586e+00 5.588e+00
 5.590e+00 5.593e+00 5.595e+00 5.598e+00 5.600e+00 5.602e+00 5.605e+00 5.607e+00
 5.610e+00 5.610e+00 5.610e+00 5.611e+00 5.611e+00 5.611e+00 5.612e+00 5.612e+00
 5.611e+00 5.610e+00 5.609e+00 5.608e+00 5.607e+00 5.606e+00 5.604e+00 5.603e+00
Z for tau[ms]=    1.0
 2.296e-02 3.635e-02 5.709e-02 8.887e-02 1.365e-01 2.054e-01 3.001e-01 4.200e-01
 5.556e-01 6.781e-01 7.562e-01 8.194e-01 8.677e-01 9.035e-01 9.298e-01 9.492e-01
 9.597e-01 9.686e-01 9.763e-01 9.835e-01 9.910e-01 9.999e-01 1.012e+00 1.029e+00
 1.053e+00 1.077e+00 1.109e+00 1.151e+00 1.206e+00 1.275e+00 1.358e+00 1.453e+00
 1.556e+00 1.657e+00 1.752e+00 1.833e+00 1.889e+00 1.945e+00 2.005e+00 2.075e+00
 2.156e+00 2.252e+00 2.363e+00 2.450e+00 2.538e+00 2.624e+00 2.705e+00 2.781e+00
 2.852e+00 2.923e+00 2.992e+00 3.050e+00 3.114e+00 3.187e+00 3.270e+00 3.363e+00
 3.467e+00 3.580e+00 3.701e+00 3.810e+00 3.904e+00 4.000e+00 4.098e+00 4.199e+00
 4.299e+00 4.390e+00 4.459e+00 4.525e+00 4.585e+00 4.641e+00 4.690e+00 4.734e+00
 4.772e+00 4.804e+00 4.828e+00 4.845e+00 4.860e+00 4.873e+00 4.886e+00 4.897e+00
 4.907e+00 4.916e+00 4.924e+00 4.931e+00 4.938e+00 4.943e+00 4.946e+00 4.950e+00
 4.953e+00 4.956e+00 4.959e+00 4.962e+00 4.965e+00 4.968e+00 4.970e+00 4.973e+00
 4.977e+00 4.981e+00 4.986e+00 4.992e+00 4.999e+00 5.007e+00 5.016e+00 5.026e+00
 5.040e+00 5.056e+00 5.077e+00 5.101e+00 5.131e+00 5.160e+00 5.190e+00 5.224e+00
 5.263e+00 5.307e+00 5.356e+00 5.403e+00 5.447e+00 5.493e+00 5.542e+00 5.595e+00
 5.650e+00 5.709e+00 5.770e+00 5.833e+00 5.882e+00 5.926e+00 5.971e+00 6.017e+00
 6.063e+00 6.109e+00 6.155e+00 6.200e+00 6.246e+00 6.291e+00 6.334e+00 6.367e+00
 6.396e+00 6.423e+00 6.450e+00 6.477e+00 6.502e+00 6.527e+00 6.547e+00 6.564e+00
 6.580e+00 6.595e+00 6.610e+00 6.625e+00 6.639e+00 6.652e+00 6.662e+00 6.671e+00
