Mean charge during dwell time tau at ne=1E20m**-3 and Te[1-10000eV]
** <Z>
ne=1E20m**-3
     200           5 # of Te values, dwell times
Te[eV]
 1.000e+00 1.047e+00 1.097e+00 1.149e+00 1.203e+00 1.260e+00 1.320e+00 1.383e+00
 1.448e+00 1.517e+00 1.589e+00 1.664e+00 1.743e+00 1.825e+00 1.912e+00 2.002e+00
 2.097e+00 2.196e+00 2.300e+00 2.409e+00 2.524e+00 2.643e+00 2.768e+00 2.899e+00
 3.037e+00 3.181e+00 3.331e+00 3.489e+00 3.654e+00 3.827e+00 4.009e+00 4.199e+00
 4.398e+00 4.606e+00 4.824e+00 5.053e+00 5.292e+00 5.543e+00 5.805e+00 6.080e+00
 6.368e+00 6.670e+00 6.986e+00 7.317e+00 7.663e+00 8.026e+00 8.407e+00 8.805e+00
 9.222e+00 9.659e+00 1.012e+01 1.060e+01 1.110e+01 1.162e+01 1.217e+01 1.275e+01
 1.335e+01 1.399e+01 1.465e+01 1.534e+01 1.607e+01 1.683e+01 1.763e+01 1.846e+01
 1.934e+01 2.026e+01 2.121e+01 2.222e+01 2.327e+01 2.437e+01 2.553e+01 2.674e+01
 2.801e+01 2.933e+01 3.072e+01 3.218e+01 3.370e+01 3.530e+01 3.697e+01 3.872e+01
 4.055e+01 4.248e+01 4.449e+01 4.660e+01 4.880e+01 5.111e+01 5.354e+01 5.607e+01
 5.873e+01 6.151e+01 6.442e+01 6.748e+01 7.067e+01 7.402e+01 7.753e+01 8.120e+01
 8.504e+01 8.907e+01 9.329e+01 9.771e+01 1.023e+02 1.072e+02 1.123e+02 1.176e+02
 1.232e+02 1.290e+02 1.351e+02 1.415e+02 1.482e+02 1.552e+02 1.626e+02 1.703e+02
 1.783e+02 1.868e+02 1.956e+02 2.049e+02 2.146e+02 2.248e+02 2.354e+02 2.466e+02
 2.583e+02 2.705e+02 2.833e+02 2.967e+02 3.108e+02 3.255e+02 3.409e+02 3.571e+02
 3.740e+02 3.917e+02 4.103e+02 4.297e+02 4.501e+02 4.714e+02 4.937e+02 5.171e+02
 5.416e+02 5.672e+02 5.941e+02 6.223e+02 6.517e+02 6.826e+02 7.149e+02 7.488e+02
 7.843e+02 8.214e+02 8.603e+02 9.011e+02 9.438e+02 9.885e+02 1.035e+03 1.084e+03
 1.136e+03 1.190e+03 1.246e+03 1.305e+03 1.367e+03 1.431e+03 1.499e+03 1.570e+03
 1.645e+03 1.723e+03 1.804e+03 1.890e+03 1.979e+03 2.073e+03 2.171e+03 2.274e+03
 2.382e+03 2.495e+03 2.613e+03 2.736e+03 2.866e+03 3.002e+03 3.144e+03 3.293e+03
 3.449e+03 3.612e+03 3.783e+03 3.963e+03 4.150e+03 4.347e+03 4.553e+03 4.769e+03
 4.995e+03 5.231e+03 5.479e+03 5.738e+03 6.010e+03 6.295e+03 6.593e+03 6.906e+03
 7.233e+03 7.575e+03 7.934e+03 8.310e+03 8.704e+03 9.116e+03 9.548e+03 1.000e+04
Z for tau[ms]=    0.1
 2.021e-06 4.007e-06 7.920e-06 1.565e-05 3.094e-05 6.115e-05 1.209e-04 2.388e-04
 4.720e-04 8.900e-04 1.435e-03 2.312e-03 3.726e-03 5.999e-03 9.651e-03 1.547e-02
 2.164e-02 3.021e-02 4.208e-02 5.842e-02 8.075e-02 1.109e-01 1.511e-01 2.034e-01
 2.631e-01 3.124e-01 3.676e-01 4.280e-01 4.924e-01 5.593e-01 6.267e-01 6.931e-01
 7.572e-01 8.192e-01 8.803e-01 9.387e-01 9.837e-01 1.033e+00 1.087e+00 1.147e+00
 1.214e+00 1.288e+00 1.368e+00 1.433e+00 1.497e+00 1.561e+00 1.622e+00 1.681e+00
 1.735e+00 1.787e+00 1.834e+00 1.871e+00 1.909e+00 1.949e+00 1.993e+00 2.042e+00
 2.098e+00 2.163e+00 2.238e+00 2.312e+00 2.379e+00 2.452e+00 2.530e+00 2.613e+00
 2.701e+00 2.788e+00 2.863e+00 2.941e+00 3.022e+00 3.107e+00 3.197e+00 3.292e+00
 3.391e+00 3.496e+00 3.586e+00 3.661e+00 3.738e+00 3.818e+00 3.900e+00 3.985e+00
 4.073e+00 4.164e+00 4.257e+00 4.352e+00 4.450e+00 4.535e+00 4.606e+00 4.680e+00
 4.756e+00 4.835e+00 4.917e+00 5.005e+00 5.089e+00 5.146e+00 5.205e+00 5.266e+00
 5.328e+00 5.392e+00 5.459e+00 5.528e+00 5.590e+00 5.644e+00 5.700e+00 5.757e+00
 5.815e+00 5.876e+00 5.938e+00 6.001e+00 6.067e+00 6.124e+00 6.178e+00 6.233e+00
 6.288e+00 6.344e+00 6.400e+00 6.449e+00 6.492e+00 6.535e+00 6.578e+00 6.620e+00
 6.663e+00 6.705e+00 6.747e+00 6.788e+00 6.816e+00 6.840e+00 6.863e+00 6.887e+00
 6.910e+00 6.933e+00 6.957e+00 6.980e+00 7.003e+00 7.026e+00 7.049e+00 7.071e+00
 7.093e+00 7.114e+00 7.135e+00 7.156e+00 7.177e+00 7.198e+00 7.207e+00 7.204e+00
 7.200e+00 7.195e+00 7.189e+00 7.183e+00 7.177e+00 7.169e+00 7.170e+00 7.174e+00
 7.178e+00 7.183e+00 7.187e+00 7.192e+00 7.197e+00 7.202e+00 7.207e+00 7.414e+00
 7.503e+00 7.540e+00 7.557e+00 7.565e+00 7.571e+00 7.571e+00 7.569e+00 7.567e+00
 7.563e+00 7.556e+00 7.545e+00 7.527e+00 7.497e+00 7.447e+00 7.417e+00 7.382e+00
 7.337e+00 7.283e+00 7.216e+00 7.134e+00 7.036e+00 6.920e+00 6.787e+00 6.639e+00
 6.481e+00 6.467e+00 6.459e+00 6.450e+00 6.442e+00 6.434e+00 6.425e+00 6.417e+00
 6.407e+00 6.397e+00 6.386e+00 6.376e+00 6.365e+00 6.355e+00 6.344e+00 6.334e+00
Z for tau[ms]=    1.0
 1.969e-05 3.914e-05 7.755e-05 1.536e-04 3.041e-04 6.020e-04 1.191e-03 2.356e-03
 4.655e-03 8.766e-03 1.410e-02 2.263e-02 3.618e-02 5.753e-02 9.064e-02 1.406e-01
 1.899e-01 2.528e-01 3.301e-01 4.206e-01 5.201e-01 6.214e-01 7.157e-01 7.968e-01
 8.581e-01 8.958e-01 9.312e-01 9.670e-01 1.006e+00 1.051e+00 1.107e+00 1.176e+00
 1.261e+00 1.362e+00 1.475e+00 1.583e+00 1.656e+00 1.723e+00 1.780e+00 1.828e+00
 1.867e+00 1.901e+00 1.932e+00 1.955e+00 1.980e+00 2.010e+00 2.046e+00 2.094e+00
 2.156e+00 2.237e+00 2.330e+00 2.410e+00 2.498e+00 2.591e+00 2.687e+00 2.785e+00
 2.886e+00 2.991e+00 3.104e+00 3.211e+00 3.307e+00 3.408e+00 3.514e+00 3.625e+00
 3.738e+00 3.848e+00 3.939e+00 4.034e+00 4.134e+00 4.239e+00 4.348e+00 4.461e+00
 4.575e+00 4.691e+00 4.789e+00 4.870e+00 4.954e+00 5.043e+00 5.137e+00 5.239e+00
 5.348e+00 5.467e+00 5.596e+00 5.735e+00 5.886e+00 6.025e+00 6.143e+00 6.265e+00
 6.389e+00 6.515e+00 6.642e+00 6.768e+00 6.886e+00 6.969e+00 7.050e+00 7.130e+00
 7.207e+00 7.281e+00 7.351e+00 7.416e+00 7.468e+00 7.507e+00 7.545e+00 7.579e+00
 7.611e+00 7.640e+00 7.668e+00 7.693e+00 7.716e+00 7.734e+00 7.749e+00 7.764e+00
 7.778e+00 7.792e+00 7.805e+00 7.816e+00 7.826e+00 7.836e+00 7.846e+00 7.856e+00
 7.868e+00 7.880e+00 7.893e+00 7.909e+00 7.921e+00 7.933e+00 7.947e+00 7.963e+00
 7.980e+00 7.999e+00 8.022e+00 8.047e+00 8.075e+00 8.108e+00 8.145e+00 8.177e+00
 8.208e+00 8.241e+00 8.277e+00 8.316e+00 8.358e+00 8.403e+00 8.444e+00 8.478e+00
 8.513e+00 8.550e+00 8.588e+00 8.627e+00 8.667e+00 8.708e+00 8.741e+00 8.772e+00
