 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_number__________________________________________________ (procver)_____________________     "1.0.17   "
 Date_of_run_____________________________________________________________ (date)________________________     "18/03/2020"
 Time_of_run_____________________________________________________________ (time)________________________     "09:55"
 User____________________________________________________________________ (username)____________________     "apearce" 
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "Run Title (change this line using input variable 'runtitle')                                       
 PROCESS_tag_number______________________________________________________ (tagno)_______________________     "1.0.17-99-gf4536883"                                                                               
 PROCESS_git_branch_name_________________________________________________ (branch_name)_________________     "develop"                                                                                           
 PROCESS_last_commit_message_____________________________________________ (commsg)______________________     "Merge branch 'issue-999-stcoils_update' into 'develop',"                                           
 Input_filename__________________________________________________________ (fileprefix)__________________     "                                                                                                                                                                                                        "
 # Numerics #
 VMCON_error_flag________________________________________________________ (ifail)_______________________              1    
 # PROCESS found a feasible solution #
 Number_of_iteration_variables___________________________________________ (nvar)________________________             42    
 Number_of_constraints_(total)___________________________________________ (neqns+nineqns)_______________             24    
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________              1    
 Square_root_of_the_sum_of_squares_of_the_constraint_residuals___________ (sqsumsq)_____________________      1.8160E-09 OP 
 VMCON_convergence_parameter_____________________________________________ (convergence_parameter)_______      2.3910E-09 OP 
 Number_of_VMCON_iterations______________________________________________ (nviter)______________________             24 OP 
 bt______________________________________________________________________ (itvar001)____________________      5.9178E+00    
 bt_(final_value/initial_value)__________________________________________ (xcm001)______________________      1.0003E+00    
 bt_(range_normalised)___________________________________________________ (nitvar001)___________________      2.9554E-01    
 rmajor__________________________________________________________________ (itvar002)____________________      1.7533E+01    
 rmajor_(final_value/initial_value)______________________________________ (xcm002)______________________      9.9963E-01    
 rmajor_(range_normalised)_______________________________________________ (nitvar002)___________________      5.8303E-01    
 te______________________________________________________________________ (itvar003)____________________      6.7690E+00    
 te_(final_value/initial_value)__________________________________________ (xcm003)______________________      1.0004E+00    
 te_(range_normalised)___________________________________________________ (nitvar003)___________________      1.2200E-02    
 beta____________________________________________________________________ (itvar004)____________________      8.0763E-03    
 beta_(final_value/initial_value)________________________________________ (xcm004)______________________      9.9934E-01    
 beta_(range_normalised)_________________________________________________ (nitvar004)___________________      7.0834E-03    
 dene____________________________________________________________________ (itvar005)____________________      3.4540E+19    
 dene_(final_value/initial_value)________________________________________ (xcm005)______________________      9.9962E-01    
 dene_(range_normalised)_________________________________________________ (nitvar005)___________________      2.4788E-02    
 fdene___________________________________________________________________ (itvar006)____________________      1.1924E+00    
 fdene_(final_value/initial_value)_______________________________________ (xcm006)______________________      9.9887E-01    
 fdene_(range_normalised)________________________________________________ (nitvar006)___________________      9.9370E-01    
 pheat___________________________________________________________________ (itvar007)____________________      1.0000E-03    
 pheat_(final_value/initial_value)_______________________________________ (xcm007)______________________      1.0000E+00    
 pheat_(range_normalised)________________________________________________ (nitvar007)___________________      0.0000E+00    
 tfcth___________________________________________________________________ (itvar008)____________________      2.8324E+00    
 tfcth_(final_value/initial_value)_______________________________________ (xcm008)______________________      9.6158E-01    
 tfcth_(range_normalised)________________________________________________ (nitvar008)___________________      3.9790E-01    
 fwalld__________________________________________________________________ (itvar009)____________________      4.6120E-02    
 fwalld_(final_value/initial_value)______________________________________ (xcm009)______________________      9.9953E-01    
 fwalld_(range_normalised)_______________________________________________ (nitvar009)___________________      4.5165E-02    
 ohcth___________________________________________________________________ (itvar010)____________________      1.3277E+00    
 ohcth_(final_value/initial_value)_______________________________________ (xcm010)______________________      1.1040E+00    
 ohcth_(range_normalised)________________________________________________ (nitvar010)___________________      8.7132E-02    
 q_______________________________________________________________________ (itvar011)____________________      3.5000E+00    
 q_(final_value/initial_value)___________________________________________ (xcm011)______________________      1.0000E+00    
 q_(range_normalised)____________________________________________________ (nitvar011)___________________      0.0000E+00    
 bore____________________________________________________________________ (itvar012)____________________      4.2718E+00    
 bore_(final_value/initial_value)________________________________________ (xcm012)______________________      1.0015E+00    
 bore_(range_normalised)_________________________________________________ (nitvar012)___________________      4.2139E-01    
 fbetatry________________________________________________________________ (itvar013)____________________      1.2866E-01    
 fbetatry_(final_value/initial_value)____________________________________ (xcm013)______________________      9.9930E-01    
 fbetatry_(range_normalised)_____________________________________________ (nitvar013)___________________      1.2779E-01    
 coheof__________________________________________________________________ (itvar014)____________________      6.4291E+06    
 coheof_(final_value/initial_value)______________________________________ (xcm014)______________________      8.8806E-01    
 coheof_(range_normalised)_______________________________________________ (nitvar014)___________________      6.3355E-02    
 fjohc___________________________________________________________________ (itvar015)____________________      4.0375E-02    
 fjohc_(final_value/initial_value)_______________________________________ (xcm015)______________________      8.0717E-01    
 fjohc_(range_normalised)________________________________________________ (nitvar015)___________________      3.0682E-02    
 fjohc0__________________________________________________________________ (itvar016)____________________      5.3678E-02    
 fjohc0_(final_value/initial_value)______________________________________ (xcm016)______________________      8.0552E-01    
 fjohc0_(range_normalised)_______________________________________________ (nitvar016)___________________      5.2730E-02    
 fcohbop_________________________________________________________________ (itvar017)____________________      1.0000E+00    
 fcohbop_(final_value/initial_value)_____________________________________ (xcm017)______________________      1.0000E+00    
 fcohbop_(range_normalised)______________________________________________ (nitvar017)___________________      1.0000E+00    
 gapoh___________________________________________________________________ (itvar018)____________________      5.0000E-02    
 gapoh_(final_value/initial_value)_______________________________________ (xcm018)______________________      1.0000E+00    
 gapoh_(range_normalised)________________________________________________ (nitvar018)___________________      0.0000E+00    
 fvsbrnni________________________________________________________________ (itvar019)____________________      2.0619E-01    
 fvsbrnni_(final_value/initial_value)____________________________________ (xcm019)______________________      9.9945E-01    
 fvsbrnni_(range_normalised)_____________________________________________ (nitvar019)___________________      2.0539E-01    
 fpinj___________________________________________________________________ (itvar020)____________________      8.7564E-02    
 fpinj_(final_value/initial_value)_______________________________________ (xcm020)______________________      9.9892E-01    
 fpinj_(range_normalised)________________________________________________ (nitvar020)___________________      8.6651E-02    
 fstrcase________________________________________________________________ (itvar021)____________________      1.0000E+00    
 fstrcase_(final_value/initial_value)____________________________________ (xcm021)______________________      1.0000E+00    
 fstrcase_(range_normalised)_____________________________________________ (nitvar021)___________________      1.0000E+00    
 fstrcond________________________________________________________________ (itvar022)____________________      8.3478E-01    
 fstrcond_(final_value/initial_value)____________________________________ (xcm022)______________________      9.9458E-01    
 fstrcond_(range_normalised)_____________________________________________ (nitvar022)___________________      8.3462E-01    
 fiooic__________________________________________________________________ (itvar023)____________________      6.0168E-01    
 fiooic_(final_value/initial_value)______________________________________ (xcm023)______________________      9.9959E-01    
 fiooic_(range_normalised)_______________________________________________ (nitvar023)___________________      6.0128E-01    
 fvdump__________________________________________________________________ (itvar024)____________________      9.7643E-01    
 fvdump_(final_value/initial_value)______________________________________ (xcm024)______________________      9.9525E-01    
 fvdump_(range_normalised)_______________________________________________ (nitvar024)___________________      9.7641E-01    
 vdalw___________________________________________________________________ (itvar025)____________________      9.7643E+00    
 vdalw_(final_value/initial_value)_______________________________________ (xcm025)______________________      9.9525E-01    
 vdalw_(range_normalised)________________________________________________ (nitvar025)___________________      9.7643E-01    
 fjprot__________________________________________________________________ (itvar026)____________________      1.0000E+00    
 fjprot_(final_value/initial_value)______________________________________ (xcm026)______________________      1.0000E+00    
 fjprot_(range_normalised)_______________________________________________ (nitvar026)___________________      1.0000E+00    
 ftmargtf________________________________________________________________ (itvar027)____________________      1.0000E+00    
 ftmargtf_(final_value/initial_value)____________________________________ (xcm027)______________________      1.0000E+00    
 ftmargtf_(range_normalised)_____________________________________________ (nitvar027)___________________      1.0000E+00    
 tdmptf__________________________________________________________________ (itvar028)____________________      1.0000E+02    
 tdmptf_(final_value/initial_value)______________________________________ (xcm028)______________________      1.0000E+00    
 tdmptf_(range_normalised)_______________________________________________ (nitvar028)___________________      1.0000E+00    
 thkcas__________________________________________________________________ (itvar029)____________________      1.0000E+00    
 thkcas_(final_value/initial_value)______________________________________ (xcm029)______________________      1.0000E+00    
 thkcas_(range_normalised)_______________________________________________ (nitvar029)___________________      1.0000E+00    
 thwcndut________________________________________________________________ (itvar030)____________________      2.9054E-02    
 thwcndut_(final_value/initial_value)____________________________________ (xcm030)______________________      9.6854E-01    
 thwcndut_(range_normalised)_____________________________________________ (nitvar030)___________________      2.2885E-01    
 fcutfsu_________________________________________________________________ (itvar031)____________________      8.7347E-01    
 fcutfsu_(final_value/initial_value)_____________________________________ (xcm031)______________________      9.9976E-01    
 fcutfsu_(range_normalised)______________________________________________ (nitvar031)___________________      8.4879E-01    
 cpttf___________________________________________________________________ (itvar032)____________________      8.9778E+04    
 cpttf_(final_value/initial_value)_______________________________________ (xcm032)______________________      1.0000E+00    
 cpttf_(range_normalised)________________________________________________ (nitvar032)___________________      9.9260E-01    
 gapds___________________________________________________________________ (itvar033)____________________      1.4788E+00    
