Description,Varname,Value
Wall_plug_to_injector_efficiency,etacd,0.3
Current_drive_efficiency_(A/W),effcd,0.059967
"Normalised_current_drive_efficiency,_gamma_(10^20_A/W-m2)",gamcd,0.27459
Net_electrical_output_(MW)	,pnetelmw,108.97
Total_capital_investment_(M$),capcost,4794.6
Safety_factor_on_axis,q0,2.0
Safety_factor_at_95%_flux_surface,q95,6.131
Cylindrical_safety_factor_(qcyl),qstar,4.1571
Total_plasma_beta,beta,0.072264
Total_poloidal_beta,betap,1.443
Fast_alpha_beta,betaft,0.006595
Beam_ion_beta,betanb,0.0026975
(Fast_alpha_+_beam_beta)/(thermal_beta),gammaft,0.14757
2nd_stability_beta_:_beta_p_/_(R/a),eps*betap,0.72152
2nd_stability_beta_upper_limit,epbetmax,10.0
Beta_g_coefficient,dnbeta,4.1973
Thermal_to_electric_conversion_efficiency_of_the_power_conversion_cycle,etath,0.5
