#ADAS data from Martin O'Mullane at n_e = 10^19 m^-3
#T[keV]  Lz[W m^3]  Z_av
1.00e-03  2.06e-37  3.00e-03
1.12e-03  8.14e-37  5.40e-02
1.26e-03  3.62e-36  4.02e-01
1.42e-03  1.38e-35  8.58e-01
1.59e-03  3.80e-35  9.80e-01
1.79e-03  9.10e-35  1.00e+00
2.01e-03  1.94e-34  1.05e+00
2.26e-03  3.37e-34  1.26e+00
2.54e-03  4.57e-34  1.69e+00
2.85e-03  7.51e-34  1.92e+00
3.20e-03  1.48e-33  1.99e+00
3.59e-03  2.92e-33  2.05e+00
4.04e-03  5.50e-33  2.15e+00
4.53e-03  9.75e-33  2.32e+00
5.09e-03  1.61e-32  2.53e+00
5.72e-03  2.50e-32  2.71e+00
6.43e-03  3.67e-32  2.84e+00
7.22e-03  5.16e-32  2.96e+00
8.11e-03  6.96e-32  3.08e+00
9.11e-03  9.01e-32  3.24e+00
1.02e-02  1.12e-31  3.44e+00
1.15e-02  1.35e-31  3.66e+00
1.29e-02  1.56e-31  3.91e+00
1.45e-02  1.75e-31  4.20e+00
1.63e-02  1.89e-31  4.54e+00
1.83e-02  1.98e-31  4.94e+00
2.06e-02  2.00e-31  5.40e+00
2.31e-02  1.81e-31  5.99e+00
2.60e-02  1.27e-31  6.77e+00
2.92e-02  6.56e-32  7.43e+00
3.27e-02  2.95e-32  7.76e+00
3.68e-02  1.39e-32  7.89e+00
4.13e-02  7.36e-33  7.95e+00
4.64e-02  4.68e-33  7.98e+00
5.21e-02  3.77e-33  8.01e+00
5.86e-02  3.96e-33  8.05e+00
6.58e-02  5.05e-33  8.12e+00
7.39e-02  7.12e-33  8.26e+00
8.30e-02  1.02e-32  8.47e+00
9.33e-02  1.43e-32  8.76e+00
1.05e-01  1.90e-32  9.12e+00
1.18e-01  2.41e-32  9.53e+00
1.32e-01  2.89e-32  9.97e+00
1.48e-01  3.32e-32  1.04e+01
1.67e-01  3.66e-32  1.08e+01
1.87e-01  3.91e-32  1.13e+01
2.10e-01  4.05e-32  1.18e+01
2.36e-01  3.97e-32  1.24e+01
2.66e-01  3.52e-32  1.32e+01
2.98e-01  2.67e-32  1.42e+01
3.35e-01  1.78e-32  1.49e+01
3.76e-01  1.13e-32  1.53e+01
4.23e-01  7.41e-33  1.56e+01
4.75e-01  5.14e-33  1.57e+01
5.34e-01  3.83e-33  1.58e+01
5.99e-01  3.07e-33  1.58e+01
6.73e-01  2.67e-33  1.59e+01
7.56e-01  2.52e-33  1.59e+01
8.50e-01  2.53e-33  1.59e+01
9.55e-01  2.66e-33  1.60e+01
1.07e+00  2.87e-33  1.60e+01
1.20e+00  3.14e-33  1.61e+01
1.35e+00  3.42e-33  1.62e+01
1.52e+00  3.67e-33  1.63e+01
1.71e+00  3.85e-33  1.64e+01
1.92e+00  3.94e-33  1.66e+01
2.15e+00  3.90e-33  1.67e+01
2.42e+00  3.76e-33  1.69e+01
2.72e+00  3.53e-33  1.71e+01
3.05e+00  3.25e-33  1.73e+01
3.43e+00  2.95e-33  1.74e+01
3.85e+00  2.67e-33  1.75e+01
4.33e+00  2.42e-33  1.76e+01
4.86e+00  2.20e-33  1.77e+01
5.46e+00  2.02e-33  1.77e+01
6.14e+00  1.87e-33  1.78e+01
6.89e+00  1.75e-33  1.78e+01
7.74e+00  1.66e-33  1.79e+01
8.70e+00  1.59e-33  1.79e+01
9.77e+00  1.53e-33  1.79e+01
1.10e+01  1.49e-33  1.79e+01
1.23e+01  1.47e-33  1.79e+01
1.38e+01  1.45e-33  1.79e+01
1.56e+01  1.45e-33  1.79e+01
1.75e+01  1.45e-33  1.80e+01
1.96e+01  1.47e-33  1.80e+01
2.21e+01  1.49e-33  1.80e+01
2.48e+01  1.52e-33  1.80e+01
2.78e+01  1.55e-33  1.80e+01
3.13e+01  1.59e-33  1.80e+01
3.51e+01  1.63e-33  1.80e+01
3.94e+01  1.68e-33  1.80e+01
4.43e+01  1.73e-33  1.80e+01
4.98e+01  1.79e-33  1.80e+01
5.59e+01  1.85e-33  1.80e+01
6.28e+01  1.92e-33  1.80e+01
7.05e+01  1.98e-33  1.80e+01
7.92e+01  2.05e-33  1.80e+01
8.90e+01  2.13e-33  1.80e+01
1.00e+02  2.20e-33  1.80e+01
