#ADAS data from Marco Sertoli
#T[keV]  Lz[W m^3]
1.00e-02  7.41e-36
1.04e-02  7.03e-36
1.09e-02  6.86e-36
1.13e-02  6.97e-36
1.18e-02  7.51e-36
1.23e-02  8.66e-36
1.28e-02  1.05e-35
1.34e-02  1.32e-35
1.40e-02  1.72e-35
1.46e-02  2.28e-35
1.52e-02  3.03e-35
1.58e-02  3.98e-35
1.65e-02  5.07e-35
1.72e-02  5.79e-35
1.79e-02  6.45e-35
1.87e-02  7.06e-35
1.95e-02  7.65e-35
2.03e-02  8.24e-35
2.12e-02  8.91e-35
2.21e-02  9.75e-35
2.30e-02  1.06e-34
2.40e-02  1.15e-34
2.50e-02  1.26e-34
2.61e-02  1.39e-34
2.72e-02  1.55e-34
2.83e-02  1.72e-34
2.96e-02  1.90e-34
3.08e-02  2.08e-34
3.21e-02  2.22e-34
3.35e-02  2.34e-34
3.49e-02  2.42e-34
3.64e-02  2.46e-34
3.80e-02  2.46e-34
3.96e-02  2.41e-34
4.13e-02  2.34e-34
4.30e-02  2.24e-34
4.48e-02  2.15e-34
4.67e-02  2.04e-34
4.87e-02  1.93e-34
5.08e-02  1.82e-34
5.30e-02  1.71e-34
5.52e-02  1.60e-34
5.76e-02  1.50e-34
6.00e-02  1.40e-34
6.26e-02  1.32e-34
6.52e-02  1.23e-34
6.80e-02  1.15e-34
7.09e-02  1.08e-34
7.39e-02  1.01e-34
7.71e-02  9.45e-35
8.04e-02  8.85e-35
8.38e-02  8.29e-35
8.73e-02  7.77e-35
9.11e-02  7.29e-35
9.49e-02  6.84e-35
9.90e-02  6.41e-35
1.03e-01  6.02e-35
1.08e-01  5.65e-35
1.12e-01  5.33e-35
1.17e-01  5.03e-35
1.22e-01  4.75e-35
1.27e-01  4.48e-35
1.33e-01  4.23e-35
1.38e-01  4.00e-35
1.44e-01  3.78e-35
1.50e-01  3.59e-35
1.57e-01  3.42e-35
1.63e-01  3.26e-35
1.70e-01  3.10e-35
1.77e-01  2.96e-35
1.85e-01  2.82e-35
1.93e-01  2.69e-35
2.01e-01  2.57e-35
2.10e-01  2.47e-35
2.19e-01  2.38e-35
2.28e-01  2.29e-35
2.37e-01  2.20e-35
2.48e-01  2.12e-35
2.58e-01  2.04e-35
2.69e-01  1.96e-35
2.81e-01  1.90e-35
2.93e-01  1.84e-35
3.05e-01  1.79e-35
3.18e-01  1.73e-35
3.31e-01  1.68e-35
3.46e-01  1.64e-35
3.60e-01  1.59e-35
3.76e-01  1.55e-35
3.92e-01  1.51e-35
4.08e-01  1.48e-35
4.26e-01  1.45e-35
4.44e-01  1.42e-35
4.63e-01  1.39e-35
4.82e-01  1.36e-35
5.03e-01  1.34e-35
5.24e-01  1.31e-35
5.47e-01  1.30e-35
5.70e-01  1.28e-35
5.94e-01  1.26e-35
6.19e-01  1.24e-35
6.46e-01  1.23e-35
6.73e-01  1.22e-35
7.02e-01  1.20e-35
7.32e-01  1.20e-35
7.63e-01  1.19e-35
7.95e-01  1.19e-35
8.29e-01  1.18e-35
8.65e-01  1.18e-35
9.01e-01  1.17e-35
9.40e-01  1.17e-35
9.80e-01  1.18e-35
1.02e+00  1.18e-35
1.06e+00  1.19e-35
1.11e+00  1.19e-35
1.16e+00  1.20e-35
1.21e+00  1.21e-35
1.26e+00  1.22e-35
1.31e+00  1.23e-35
1.37e+00  1.24e-35
1.43e+00  1.25e-35
1.49e+00  1.27e-35
1.55e+00  1.28e-35
1.62e+00  1.30e-35
1.68e+00  1.31e-35
1.76e+00  1.33e-35
1.83e+00  1.34e-35
1.91e+00  1.36e-35
1.99e+00  1.38e-35
2.07e+00  1.40e-35
