#ADAS data from Marco Sertoli
#T[keV]  Lz[W m^3]
1.00e-02  2.11e-32
1.04e-02  1.76e-32
1.09e-02  1.45e-32
1.13e-02  1.19e-32
1.18e-02  9.59e-33
1.23e-02  7.70e-33
1.28e-02  6.15e-33
1.34e-02  4.89e-33
1.40e-02  3.87e-33
1.46e-02  3.06e-33
1.52e-02  2.45e-33
1.58e-02  2.04e-33
1.65e-02  1.70e-33
1.72e-02  1.41e-33
1.79e-02  1.18e-33
1.87e-02  9.78e-34
1.95e-02  8.13e-34
2.03e-02  6.88e-34
2.12e-02  6.00e-34
2.21e-02  5.24e-34
2.30e-02  4.57e-34
2.40e-02  3.99e-34
2.50e-02  3.49e-34
2.61e-02  3.05e-34
2.72e-02  2.67e-34
2.83e-02  2.34e-34
2.96e-02  2.06e-34
3.08e-02  1.89e-34
3.21e-02  1.77e-34
3.35e-02  1.67e-34
3.49e-02  1.59e-34
3.64e-02  1.52e-34
3.80e-02  1.48e-34
3.96e-02  1.45e-34
4.13e-02  1.45e-34
4.30e-02  1.49e-34
4.48e-02  1.57e-34
4.67e-02  1.70e-34
4.87e-02  1.90e-34
5.08e-02  2.14e-34
5.30e-02  2.37e-34
5.52e-02  2.64e-34
5.76e-02  2.94e-34
6.00e-02  3.28e-34
6.26e-02  3.64e-34
6.52e-02  4.02e-34
6.80e-02  4.41e-34
7.09e-02  4.79e-34
7.39e-02  5.09e-34
7.71e-02  5.40e-34
8.04e-02  5.70e-34
8.38e-02  5.99e-34
8.73e-02  6.26e-34
9.11e-02  6.48e-34
9.49e-02  6.65e-34
9.90e-02  6.74e-34
1.03e-01  6.71e-34
1.08e-01  6.61e-34
1.12e-01  6.45e-34
1.17e-01  6.25e-34
1.22e-01  6.00e-34
1.27e-01  5.73e-34
1.33e-01  5.43e-34
1.38e-01  5.12e-34
1.44e-01  4.81e-34
1.50e-01  4.50e-34
1.57e-01  4.22e-34
1.63e-01  3.96e-34
1.70e-01  3.71e-34
1.77e-01  3.47e-34
1.85e-01  3.24e-34
1.93e-01  3.03e-34
2.01e-01  2.84e-34
2.10e-01  2.68e-34
2.19e-01  2.53e-34
2.28e-01  2.39e-34
2.37e-01  2.25e-34
2.48e-01  2.13e-34
2.58e-01  2.01e-34
2.69e-01  1.90e-34
2.81e-01  1.80e-34
2.93e-01  1.71e-34
3.05e-01  1.62e-34
3.18e-01  1.56e-34
3.31e-01  1.49e-34
3.46e-01  1.43e-34
3.60e-01  1.37e-34
3.76e-01  1.32e-34
3.92e-01  1.26e-34
4.08e-01  1.21e-34
4.26e-01  1.17e-34
4.44e-01  1.12e-34
4.63e-01  1.08e-34
4.82e-01  1.04e-34
5.03e-01  1.01e-34
5.24e-01  9.76e-35
5.47e-01  9.46e-35
5.70e-01  9.18e-35
5.94e-01  8.92e-35
6.19e-01  8.67e-35
6.46e-01  8.43e-35
6.73e-01  8.20e-35
7.02e-01  7.98e-35
7.32e-01  7.81e-35
7.63e-01  7.64e-35
7.95e-01  7.48e-35
8.29e-01  7.32e-35
8.65e-01  7.18e-35
9.01e-01  7.04e-35
9.40e-01  6.91e-35
9.80e-01  6.79e-35
1.02e+00  6.68e-35
1.06e+00  6.59e-35
1.11e+00  6.50e-35
1.16e+00  6.43e-35
1.21e+00  6.35e-35
1.26e+00  6.28e-35
