#ADAS data from Martin O'Mullane at n_e = 10^19 m^-3
#T[keV]  Lz[W m^3]  Z_av
1.00e-03  2.10e-36  3.90e-02
1.12e-03  5.59e-36  1.67e-01
1.26e-03  9.87e-36  4.61e-01
1.42e-03  1.08e-35  7.60e-01
1.59e-03  8.86e-36  9.12e-01
1.79e-03  6.64e-36  9.68e-01
2.01e-03  4.93e-36  9.88e-01
2.26e-03  3.73e-36  9.95e-01
2.54e-03  2.88e-36  9.98e-01
2.85e-03  2.27e-36  9.99e-01
3.20e-03  1.82e-36  9.99e-01
3.59e-03  1.49e-36  1.00e+00
4.04e-03  1.23e-36  1.00e+00
4.53e-03  1.04e-36  1.00e+00
5.09e-03  8.84e-37  1.00e+00
5.72e-03  7.63e-37  1.00e+00
6.43e-03  6.66e-37  1.00e+00
7.22e-03  5.88e-37  1.00e+00
8.11e-03  5.24e-37  1.00e+00
9.11e-03  4.72e-37  1.00e+00
1.02e-02  4.29e-37  1.00e+00
1.15e-02  3.93e-37  1.00e+00
1.29e-02  3.64e-37  1.00e+00
1.45e-02  3.39e-37  1.00e+00
1.63e-02  3.19e-37  1.00e+00
1.83e-02  3.02e-37  1.00e+00
2.06e-02  2.88e-37  1.00e+00
2.31e-02  2.77e-37  1.00e+00
2.60e-02  2.68e-37  1.00e+00
2.92e-02  2.62e-37  1.00e+00
3.27e-02  2.57e-37  1.00e+00
3.68e-02  2.54e-37  1.00e+00
4.13e-02  2.52e-37  1.00e+00
4.64e-02  2.52e-37  1.00e+00
5.21e-02  2.53e-37  1.00e+00
5.86e-02  2.55e-37  1.00e+00
6.58e-02  2.58e-37  1.00e+00
7.39e-02  2.61e-37  1.00e+00
8.30e-02  2.66e-37  1.00e+00
9.33e-02  2.72e-37  1.00e+00
1.05e-01  2.78e-37  1.00e+00
1.18e-01  2.85e-37  1.00e+00
1.32e-01  2.93e-37  1.00e+00
1.48e-01  3.02e-37  1.00e+00
1.67e-01  3.12e-37  1.00e+00
1.87e-01  3.23e-37  1.00e+00
2.10e-01  3.35e-37  1.00e+00
2.36e-01  3.48e-37  1.00e+00
2.66e-01  3.62e-37  1.00e+00
2.98e-01  3.77e-37  1.00e+00
3.35e-01  3.93e-37  1.00e+00
3.76e-01  4.10e-37  1.00e+00
4.23e-01  4.28e-37  1.00e+00
4.75e-01  4.48e-37  1.00e+00
5.34e-01  4.69e-37  1.00e+00
5.99e-01  4.92e-37  1.00e+00
6.73e-01  5.16e-37  1.00e+00
7.56e-01  5.42e-37  1.00e+00
8.50e-01  5.69e-37  1.00e+00
9.55e-01  5.98e-37  1.00e+00
1.07e+00  6.29e-37  1.00e+00
1.20e+00  6.61e-37  1.00e+00
1.35e+00  6.96e-37  1.00e+00
1.52e+00  7.32e-37  1.00e+00
1.71e+00  7.71e-37  1.00e+00
1.92e+00  8.13e-37  1.00e+00
2.15e+00  8.57e-37  1.00e+00
2.42e+00  9.03e-37  1.00e+00
2.72e+00  9.53e-37  1.00e+00
3.05e+00  1.00e-36  1.00e+00
3.43e+00  1.06e-36  1.00e+00
3.85e+00  1.12e-36  1.00e+00
4.33e+00  1.18e-36  1.00e+00
4.86e+00  1.25e-36  1.00e+00
5.46e+00  1.32e-36  1.00e+00
6.14e+00  1.39e-36  1.00e+00
6.89e+00  1.47e-36  1.00e+00
7.74e+00  1.56e-36  1.00e+00
8.70e+00  1.64e-36  1.00e+00
9.77e+00  1.74e-36  1.00e+00
1.10e+01  1.84e-36  1.00e+00
1.23e+01  1.94e-36  1.00e+00
1.38e+01  2.06e-36  1.00e+00
1.56e+01  2.17e-36  1.00e+00
1.75e+01  2.30e-36  1.00e+00
1.96e+01  2.43e-36  1.00e+00
2.21e+01  2.57e-36  1.00e+00
2.48e+01  2.72e-36  1.00e+00
2.78e+01  2.87e-36  1.00e+00
3.13e+01  3.04e-36  1.00e+00
3.51e+01  3.21e-36  1.00e+00
3.94e+01  3.39e-36  1.00e+00
4.43e+01  3.59e-36  1.00e+00
4.98e+01  3.80e-36  1.00e+00
5.59e+01  4.01e-36  1.00e+00
6.28e+01  4.24e-36  1.00e+00
7.05e+01  4.49e-36  1.00e+00
7.92e+01  4.74e-36  1.00e+00
8.90e+01  5.02e-36  1.00e+00
1.00e+02  5.30e-36  1.00e+00
