#ADAS data from Martin O'Mullane at n_e = 10^19 m^-3
#T[keV]  Lz[W m^3]  Z_av
1.00e-03  3.55e-40  0.00e+00
1.12e-03  4.30e-39  0.00e+00
1.26e-03  3.88e-38  1.00e-03
1.42e-03  2.68e-37  4.00e-03
1.59e-03  1.46e-36  2.60e-02
1.79e-03  5.97e-36  1.25e-01
2.01e-03  1.60e-35  3.87e-01
2.26e-03  2.50e-35  7.03e-01
2.54e-03  2.70e-35  8.85e-01
2.85e-03  2.50e-35  9.57e-01
3.20e-03  2.22e-35  9.83e-01
3.59e-03  1.99e-35  9.93e-01
4.04e-03  1.97e-35  1.00e+00
4.53e-03  2.36e-35  1.02e+00
5.09e-03  3.54e-35  1.07e+00
5.72e-03  5.62e-35  1.22e+00
6.43e-03  7.46e-35  1.47e+00
7.22e-03  7.62e-35  1.72e+00
8.11e-03  6.48e-35  1.87e+00
9.11e-03  5.09e-35  1.94e+00
1.02e-02  3.92e-35  1.97e+00
1.15e-02  3.04e-35  1.99e+00
1.29e-02  2.39e-35  1.99e+00
1.45e-02  1.90e-35  2.00e+00
1.63e-02  1.53e-35  2.00e+00
1.83e-02  1.25e-35  2.00e+00
2.06e-02  1.03e-35  2.00e+00
2.31e-02  8.67e-36  2.00e+00
2.60e-02  7.36e-36  2.00e+00
2.92e-02  6.31e-36  2.00e+00
3.27e-02  5.47e-36  2.00e+00
3.68e-02  4.79e-36  2.00e+00
4.13e-02  4.24e-36  2.00e+00
4.64e-02  3.80e-36  2.00e+00
5.21e-02  3.44e-36  2.00e+00
5.86e-02  3.14e-36  2.00e+00
6.58e-02  2.90e-36  2.00e+00
7.39e-02  2.71e-36  2.00e+00
8.30e-02  2.54e-36  2.00e+00
9.33e-02  2.41e-36  2.00e+00
1.05e-01  2.30e-36  2.00e+00
1.18e-01  2.22e-36  2.00e+00
1.32e-01  2.16e-36  2.00e+00
1.48e-01  2.12e-36  2.00e+00
1.67e-01  2.09e-36  2.00e+00
1.87e-01  2.08e-36  2.00e+00
2.10e-01  2.07e-36  2.00e+00
2.36e-01  2.08e-36  2.00e+00
2.66e-01  2.09e-36  2.00e+00
2.98e-01  2.12e-36  2.00e+00
3.35e-01  2.15e-36  2.00e+00
3.76e-01  2.20e-36  2.00e+00
4.23e-01  2.24e-36  2.00e+00
4.75e-01  2.30e-36  2.00e+00
5.34e-01  2.36e-36  2.00e+00
5.99e-01  2.43e-36  2.00e+00
6.73e-01  2.51e-36  2.00e+00
7.56e-01  2.60e-36  2.00e+00
8.50e-01  2.69e-36  2.00e+00
9.55e-01  2.79e-36  2.00e+00
1.07e+00  2.90e-36  2.00e+00
1.20e+00  3.01e-36  2.00e+00
1.35e+00  3.13e-36  2.00e+00
1.52e+00  3.26e-36  2.00e+00
1.71e+00  3.39e-36  2.00e+00
1.92e+00  3.52e-36  2.00e+00
2.15e+00  3.66e-36  2.00e+00
2.42e+00  3.81e-36  2.00e+00
2.72e+00  3.97e-36  2.00e+00
3.05e+00  4.13e-36  2.00e+00
3.43e+00  4.29e-36  2.00e+00
3.85e+00  4.47e-36  2.00e+00
4.33e+00  4.65e-36  2.00e+00
4.86e+00  4.84e-36  2.00e+00
5.46e+00  5.04e-36  2.00e+00
6.14e+00  5.24e-36  2.00e+00
6.89e+00  5.45e-36  2.00e+00
7.74e+00  5.68e-36  2.00e+00
8.70e+00  5.91e-36  2.00e+00
9.77e+00  6.15e-36  2.00e+00
1.10e+01  6.40e-36  2.00e+00
1.23e+01  6.66e-36  2.00e+00
1.38e+01  6.93e-36  2.00e+00
1.56e+01  7.22e-36  2.00e+00
1.75e+01  7.51e-36  2.00e+00
1.96e+01  7.82e-36  2.00e+00
2.21e+01  8.14e-36  2.00e+00
2.48e+01  8.47e-36  2.00e+00
2.78e+01  8.81e-36  2.00e+00
3.13e+01  9.17e-36  2.00e+00
3.51e+01  9.55e-36  2.00e+00
3.94e+01  9.94e-36  2.00e+00
4.43e+01  1.03e-35  2.00e+00
4.98e+01  1.08e-35  2.00e+00
5.59e+01  1.12e-35  2.00e+00
6.28e+01  1.17e-35  2.00e+00
7.05e+01  1.21e-35  2.00e+00
7.92e+01  1.26e-35  2.00e+00
8.90e+01  1.31e-35  2.00e+00
1.00e+02  1.37e-35  2.00e+00
