#ADAS data from Marco Sertoli
#T[keV]  Lz[W m^3]
1.00e-02  1.04e-31
1.04e-02  1.13e-31
1.09e-02  1.22e-31
1.13e-02  1.33e-31
1.18e-02  1.45e-31
1.23e-02  1.56e-31
1.28e-02  1.67e-31
1.34e-02  1.78e-31
1.40e-02  1.90e-31
1.46e-02  2.02e-31
1.52e-02  2.14e-31
1.58e-02  2.27e-31
1.65e-02  2.39e-31
1.72e-02  2.46e-31
1.79e-02  2.52e-31
1.87e-02  2.56e-31
1.95e-02  2.59e-31
2.03e-02  2.59e-31
2.12e-02  2.57e-31
2.21e-02  2.52e-31
2.30e-02  2.44e-31
2.40e-02  2.36e-31
2.50e-02  2.27e-31
2.61e-02  2.16e-31
2.72e-02  2.05e-31
2.83e-02  1.93e-31
2.96e-02  1.81e-31
3.08e-02  1.68e-31
3.21e-02  1.57e-31
3.35e-02  1.46e-31
3.49e-02  1.34e-31
3.64e-02  1.23e-31
3.80e-02  1.11e-31
3.96e-02  9.84e-32
4.13e-02  8.60e-32
4.30e-02  7.44e-32
4.48e-02  6.39e-32
4.67e-02  5.42e-32
4.87e-02  4.55e-32
5.08e-02  3.82e-32
5.30e-02  3.23e-32
5.52e-02  2.82e-32
5.76e-02  2.57e-32
6.00e-02  2.46e-32
6.26e-02  2.45e-32
6.52e-02  2.54e-32
6.80e-02  2.71e-32
7.09e-02  2.94e-32
7.39e-02  3.24e-32
7.71e-02  3.61e-32
8.04e-02  3.97e-32
8.38e-02  4.32e-32
8.73e-02  4.71e-32
9.11e-02  5.15e-32
9.49e-02  5.64e-32
9.90e-02  6.16e-32
1.03e-01  6.73e-32
1.08e-01  7.31e-32
1.12e-01  7.73e-32
1.17e-01  8.16e-32
1.22e-01  8.59e-32
1.27e-01  9.01e-32
1.33e-01  9.44e-32
1.38e-01  9.88e-32
1.44e-01  1.03e-31
1.50e-01  1.07e-31
1.57e-01  1.10e-31
1.63e-01  1.14e-31
1.70e-01  1.17e-31
1.77e-01  1.21e-31
1.85e-01  1.25e-31
1.93e-01  1.29e-31
2.01e-01  1.33e-31
2.10e-01  1.36e-31
2.19e-01  1.39e-31
2.28e-01  1.42e-31
2.37e-01  1.46e-31
2.48e-01  1.50e-31
2.58e-01  1.53e-31
2.69e-01  1.57e-31
2.81e-01  1.59e-31
2.93e-01  1.61e-31
3.05e-01  1.63e-31
3.18e-01  1.64e-31
3.31e-01  1.64e-31
3.46e-01  1.63e-31
3.60e-01  1.61e-31
3.76e-01  1.55e-31
3.92e-01  1.48e-31
4.08e-01  1.37e-31
4.26e-01  1.26e-31
4.44e-01  1.14e-31
4.63e-01  1.03e-31
4.82e-01  9.34e-32
5.03e-01  8.58e-32
5.24e-01  7.99e-32
5.47e-01  7.49e-32
5.70e-01  7.06e-32
5.94e-01  6.67e-32
6.19e-01  6.32e-32
6.46e-01  5.99e-32
6.73e-01  5.69e-32
7.02e-01  5.42e-32
7.32e-01  5.18e-32
7.63e-01  4.96e-32
7.95e-01  4.76e-32
8.29e-01  4.58e-32
8.65e-01  4.42e-32
9.01e-01  4.27e-32
9.40e-01  4.15e-32
9.80e-01  4.03e-32
1.02e+00  3.93e-32
1.06e+00  3.84e-32
1.11e+00  3.77e-32
1.16e+00  3.71e-32
1.21e+00  3.66e-32
1.26e+00  3.62e-32
1.31e+00  3.59e-32
1.37e+00  3.55e-32
1.43e+00  3.52e-32
1.49e+00  3.50e-32
1.55e+00  3.48e-32
1.62e+00  3.47e-32
1.68e+00  3.46e-32
1.76e+00  3.45e-32
1.83e+00  3.41e-32
1.91e+00  3.36e-32
1.99e+00  3.29e-32
2.07e+00  3.20e-32
2.16e+00  3.08e-32
2.25e+00  2.94e-32
2.35e+00  2.77e-32
2.45e+00  2.59e-32
2.56e+00  2.41e-32
2.66e+00  2.24e-32
2.78e+00  2.07e-32
2.90e+00  1.91e-32
3.02e+00  1.77e-32
3.15e+00  1.63e-32
3.28e+00  1.51e-32
3.42e+00  1.41e-32
3.57e+00  1.31e-32
3.72e+00  1.23e-32
3.88e+00  1.15e-32
4.04e+00  1.09e-32
4.21e+00  1.02e-32
4.39e+00  9.71e-33
4.58e+00  9.24e-33
4.77e+00  8.85e-33
