#ADAS data from Marco Sertoli
#T[keV]  Lz[W m^3]
1.00e-02  4.61e-32
1.04e-02  4.72e-32
1.09e-02  4.78e-32
1.13e-02  4.74e-32
1.18e-02  4.59e-32
1.23e-02  4.33e-32
1.28e-02  3.97e-32
1.34e-02  3.52e-32
1.40e-02  3.02e-32
1.46e-02  2.51e-32
1.52e-02  2.06e-32
1.58e-02  1.74e-32
1.65e-02  1.44e-32
1.72e-02  1.19e-32
1.79e-02  9.72e-33
1.87e-02  7.89e-33
1.95e-02  6.37e-33
2.03e-02  5.21e-33
2.12e-02  4.39e-33
2.21e-02  3.69e-33
2.30e-02  3.10e-33
2.40e-02  2.60e-33
2.50e-02  2.18e-33
2.61e-02  1.83e-33
2.72e-02  1.53e-33
2.83e-02  1.28e-33
2.96e-02  1.08e-33
3.08e-02  9.35e-34
3.21e-02  8.30e-34
3.35e-02  7.38e-34
3.49e-02  6.56e-34
3.64e-02  5.84e-34
3.80e-02  5.20e-34
3.96e-02  4.63e-34
4.13e-02  4.13e-34
4.30e-02  3.69e-34
4.48e-02  3.30e-34
4.67e-02  2.97e-34
4.87e-02  2.69e-34
5.08e-02  2.51e-34
5.30e-02  2.43e-34
5.52e-02  2.37e-34
5.76e-02  2.34e-34
6.00e-02  2.35e-34
6.26e-02  2.40e-34
6.52e-02  2.50e-34
6.80e-02  2.67e-34
7.09e-02  2.91e-34
7.39e-02  3.17e-34
7.71e-02  3.49e-34
8.04e-02  3.87e-34
8.38e-02  4.32e-34
8.73e-02  4.83e-34
9.11e-02  5.42e-34
9.49e-02  6.07e-34
9.90e-02  6.77e-34
1.03e-01  7.34e-34
1.08e-01  7.87e-34
1.12e-01  8.41e-34
1.17e-01  8.93e-34
1.22e-01  9.42e-34
1.27e-01  9.87e-34
1.33e-01  1.02e-33
1.38e-01  1.05e-33
1.44e-01  1.07e-33
1.50e-01  1.07e-33
1.57e-01  1.05e-33
1.63e-01  1.03e-33
1.70e-01  9.95e-34
1.77e-01  9.56e-34
1.85e-01  9.12e-34
1.93e-01  8.64e-34
2.01e-01  8.14e-34
2.10e-01  7.69e-34
2.19e-01  7.24e-34
2.28e-01  6.81e-34
2.37e-01  6.39e-34
2.48e-01  6.00e-34
2.58e-01  5.62e-34
2.69e-01  5.26e-34
2.81e-01  4.93e-34
2.93e-01  4.61e-34
3.05e-01  4.33e-34
3.18e-01  4.08e-34
3.31e-01  3.86e-34
3.46e-01  3.64e-34
3.60e-01  3.44e-34
3.76e-01  3.26e-34
3.92e-01  3.08e-34
4.08e-01  2.92e-34
4.26e-01  2.77e-34
4.44e-01  2.62e-34
4.63e-01  2.49e-34
4.82e-01  2.37e-34
5.03e-01  2.25e-34
5.24e-01  2.16e-34
5.47e-01  2.07e-34
5.70e-01  1.98e-34
5.94e-01  1.90e-34
6.19e-01  1.83e-34
6.46e-01  1.76e-34
6.73e-01  1.69e-34
7.02e-01  1.63e-34
7.32e-01  1.58e-34
7.63e-01  1.53e-34
7.95e-01  1.48e-34
8.29e-01  1.43e-34
8.65e-01  1.39e-34
9.01e-01  1.35e-34
9.40e-01  1.31e-34
9.80e-01  1.28e-34
1.02e+00  1.25e-34
1.06e+00  1.22e-34
1.11e+00  1.19e-34
1.16e+00  1.17e-34
1.21e+00  1.15e-34
1.26e+00  1.12e-34
1.31e+00  1.10e-34
1.37e+00  1.08e-34
1.43e+00  1.07e-34
1.49e+00  1.05e-34
1.55e+00  1.03e-34
1.62e+00  1.02e-34
1.68e+00  1.01e-34
1.76e+00  9.98e-35
1.83e+00  9.88e-35
1.91e+00  9.78e-35
1.99e+00  9.69e-35
2.07e+00  9.64e-35
2.16e+00  9.59e-35
2.25e+00  9.54e-35
2.35e+00  9.50e-35
2.45e+00  9.47e-35
2.56e+00  9.44e-35
2.66e+00  9.41e-35
2.78e+00  9.39e-35
2.90e+00  9.37e-35
3.02e+00  9.36e-35
3.15e+00  9.38e-35
3.28e+00  9.40e-35
3.42e+00  9.42e-35
3.57e+00  9.45e-35
3.72e+00  9.48e-35
3.88e+00  9.51e-35
4.04e+00  9.55e-35
4.21e+00  9.59e-35
4.39e+00  9.63e-35
4.58e+00  9.68e-35
4.77e+00  9.72e-35
4.98e+00  9.77e-35
5.19e+00  9.84e-35
5.41e+00  9.92e-35
5.64e+00  1.00e-34
5.88e+00  1.01e-34
6.13e+00  1.02e-34
6.39e+00  1.03e-34
6.66e+00  1.04e-34
6.95e+00  1.04e-34
7.24e+00  1.06e-34
7.55e+00  1.07e-34
7.87e+00  1.08e-34
8.21e+00  1.09e-34
8.56e+00  1.11e-34
8.92e+00  1.12e-34
9.30e+00  1.13e-34
9.70e+00  1.15e-34
1.01e+01  1.16e-34
1.05e+01  1.17e-34
1.10e+01  1.19e-34
1.15e+01  1.20e-34
1.19e+01  1.22e-34
1.25e+01  1.23e-34
1.30e+01  1.25e-34
1.35e+01  1.26e-34
1.41e+01  1.28e-34
1.47e+01  1.29e-34
1.53e+01  1.30e-34
1.60e+01  1.30e-34
1.67e+01  1.30e-34
1.74e+01  1.30e-34
1.81e+01  1.30e-34
1.89e+01  1.30e-34
1.97e+01  1.30e-34
2.05e+01  1.30e-34
2.14e+01  1.30e-34
2.23e+01  1.30e-34
2.33e+01  1.30e-34
2.43e+01  1.30e-34
2.53e+01  1.30e-34
2.64e+01  1.30e-34
2.75e+01  1.30e-34
2.87e+01  1.30e-34
2.99e+01  1.30e-34
3.11e+01  1.30e-34
3.25e+01  1.30e-34
3.39e+01  1.30e-34
3.53e+01  1.30e-34
3.68e+01  1.30e-34
3.84e+01  1.30e-34
4.00e+01  1.30e-34
