#ADAS data from Marco Sertoli
#T[keV]  Lz[W m^3]
1.00e-02  9.23e-33
1.04e-02  1.01e-32
1.09e-02  1.11e-32
1.13e-02  1.21e-32
1.18e-02  1.34e-32
1.23e-02  1.47e-32
1.28e-02  1.63e-32
1.34e-02  1.80e-32
1.40e-02  1.99e-32
1.46e-02  2.19e-32
1.52e-02  2.38e-32
1.58e-02  2.55e-32
1.65e-02  2.71e-32
1.72e-02  2.88e-32
1.79e-02  3.04e-32
1.87e-02  3.21e-32
1.95e-02  3.37e-32
2.03e-02  3.51e-32
2.12e-02  3.63e-32
2.21e-02  3.75e-32
2.30e-02  3.87e-32
2.40e-02  3.99e-32
2.50e-02  4.10e-32
2.61e-02  4.21e-32
2.72e-02  4.32e-32
2.83e-02  4.42e-32
2.96e-02  4.50e-32
3.08e-02  4.56e-32
3.21e-02  4.59e-32
3.35e-02  4.59e-32
3.49e-02  4.55e-32
3.64e-02  4.44e-32
3.80e-02  4.26e-32
3.96e-02  3.99e-32
4.13e-02  3.64e-32
4.30e-02  3.23e-32
4.48e-02  2.78e-32
4.67e-02  2.32e-32
4.87e-02  1.90e-32
5.08e-02  1.56e-32
5.30e-02  1.32e-32
5.52e-02  1.11e-32
5.76e-02  9.35e-33
6.00e-02  7.80e-33
6.26e-02  6.48e-33
6.52e-02  5.37e-33
6.80e-02  4.44e-33
7.09e-02  3.73e-33
7.39e-02  3.24e-33
7.71e-02  2.82e-33
8.04e-02  2.45e-33
8.38e-02  2.13e-33
8.73e-02  1.85e-33
9.11e-02  1.61e-33
9.49e-02  1.41e-33
9.90e-02  1.23e-33
1.03e-01  1.12e-33
1.08e-01  1.04e-33
1.12e-01  9.65e-34
1.17e-01  8.99e-34
1.22e-01  8.40e-34
1.27e-01  7.88e-34
1.33e-01  7.44e-34
1.38e-01  7.07e-34
1.44e-01  6.79e-34
1.50e-01  6.60e-34
1.57e-01  6.67e-34
1.63e-01  6.80e-34
1.70e-01  6.98e-34
1.77e-01  7.24e-34
1.85e-01  7.57e-34
1.93e-01  8.00e-34
2.01e-01  8.52e-34
2.10e-01  9.01e-34
2.19e-01  9.56e-34
2.28e-01  1.02e-33
2.37e-01  1.08e-33
2.48e-01  1.15e-33
2.58e-01  1.23e-33
2.69e-01  1.31e-33
2.81e-01  1.38e-33
2.93e-01  1.46e-33
3.05e-01  1.51e-33
3.18e-01  1.53e-33
3.31e-01  1.55e-33
3.46e-01  1.55e-33
3.60e-01  1.55e-33
3.76e-01  1.53e-33
3.92e-01  1.50e-33
4.08e-01  1.46e-33
4.26e-01  1.41e-33
4.44e-01  1.35e-33
4.63e-01  1.28e-33
4.82e-01  1.21e-33
5.03e-01  1.14e-33
5.24e-01  1.08e-33
5.47e-01  1.02e-33
5.70e-01  9.67e-34
5.94e-01  9.16e-34
6.19e-01  8.67e-34
6.46e-01  8.21e-34
6.73e-01  7.77e-34
7.02e-01  7.37e-34
7.32e-01  7.04e-34
7.63e-01  6.73e-34
7.95e-01  6.44e-34
8.29e-01  6.17e-34
8.65e-01  5.91e-34
9.01e-01  5.67e-34
9.40e-01  5.45e-34
9.80e-01  5.23e-34
1.02e+00  5.04e-34
1.06e+00  4.88e-34
1.11e+00  4.72e-34
1.16e+00  4.58e-34
1.21e+00  4.44e-34
1.26e+00  4.30e-34
1.31e+00  4.18e-34
1.37e+00  4.06e-34
1.43e+00  3.94e-34
1.49e+00  3.83e-34
1.55e+00  3.74e-34
1.62e+00  3.65e-34
1.68e+00  3.57e-34
1.76e+00  3.50e-34
1.83e+00  3.42e-34
1.91e+00  3.35e-34
1.99e+00  3.28e-34
2.07e+00  3.23e-34
2.16e+00  3.18e-34
2.25e+00  3.13e-34
2.35e+00  3.08e-34
2.45e+00  3.04e-34
2.56e+00  3.00e-34
2.66e+00  2.96e-34
2.78e+00  2.92e-34
2.90e+00  2.88e-34
3.02e+00  2.85e-34
3.15e+00  2.83e-34
3.28e+00  2.81e-34
3.42e+00  2.79e-34
3.57e+00  2.77e-34
3.72e+00  2.76e-34
3.88e+00  2.74e-34
4.04e+00  2.73e-34
4.21e+00  2.72e-34
4.39e+00  2.70e-34
4.58e+00  2.69e-34
4.77e+00  2.68e-34
4.98e+00  2.67e-34
5.19e+00  2.67e-34
5.41e+00  2.67e-34
5.64e+00  2.68e-34
5.88e+00  2.68e-34
6.13e+00  2.68e-34
6.39e+00  2.69e-34
6.66e+00  2.69e-34
6.95e+00  2.70e-34
7.24e+00  2.71e-34
7.55e+00  2.72e-34
7.87e+00  2.74e-34
8.21e+00  2.75e-34
8.56e+00  2.77e-34
8.92e+00  2.78e-34
9.30e+00  2.80e-34
9.70e+00  2.82e-34
1.01e+01  2.83e-34
1.05e+01  2.86e-34
1.10e+01  2.88e-34
1.15e+01  2.91e-34
1.19e+01  2.93e-34
1.25e+01  2.96e-34
1.30e+01  2.98e-34
1.35e+01  3.01e-34
1.41e+01  3.04e-34
1.47e+01  3.07e-34
1.53e+01  3.08e-34
1.60e+01  3.08e-34
1.67e+01  3.08e-34
1.74e+01  3.08e-34
1.81e+01  3.08e-34
1.89e+01  3.08e-34
1.97e+01  3.08e-34
2.05e+01  3.08e-34
2.14e+01  3.08e-34
2.23e+01  3.08e-34
2.33e+01  3.08e-34
2.43e+01  3.08e-34
2.53e+01  3.08e-34
2.64e+01  3.08e-34
2.75e+01  3.08e-34
2.87e+01  3.08e-34
2.99e+01  3.08e-34
3.11e+01  3.08e-34
3.25e+01  3.08e-34
3.39e+01  3.08e-34
3.53e+01  3.08e-34
3.68e+01  3.08e-34
3.84e+01  3.08e-34
4.00e+01  3.08e-34
