#ADAS data from Martin O'Mullane at n_e = 10^19 m^-3
#T[keV]  Lz[W m^3]  Z_av
1.00e-03  1.49e-34  7.86e-01
1.12e-03  4.63e-34  8.90e-01
1.26e-03  1.23e-33  9.45e-01
1.42e-03  2.70e-33  1.03e+00
1.59e-03  4.49e-33  1.24e+00
1.79e-03  5.44e-33  1.55e+00
2.01e-03  5.82e-33  1.77e+00
2.26e-03  6.97e-33  1.89e+00
2.54e-03  9.74e-33  1.95e+00
2.85e-03  1.44e-32  2.03e+00
3.20e-03  2.02e-32  2.17e+00
3.59e-03  2.59e-32  2.36e+00
4.04e-03  3.16e-32  2.56e+00
4.53e-03  3.82e-32  2.74e+00
5.09e-03  4.58e-32  2.91e+00
5.72e-03  5.34e-32  3.10e+00
6.43e-03  6.00e-32  3.30e+00
7.22e-03  6.47e-32  3.51e+00
8.11e-03  6.81e-32  3.73e+00
9.11e-03  7.09e-32  3.96e+00
1.02e-02  7.39e-32  4.19e+00
1.15e-02  7.78e-32  4.41e+00
1.29e-02  8.32e-32  4.63e+00
1.45e-02  9.01e-32  4.84e+00
1.63e-02  9.80e-32  5.05e+00
1.83e-02  1.06e-31  5.29e+00
2.06e-02  1.14e-31  5.54e+00
2.31e-02  1.21e-31  5.81e+00
2.60e-02  1.29e-31  6.09e+00
2.92e-02  1.36e-31  6.36e+00
3.27e-02  1.44e-31  6.63e+00
3.68e-02  1.52e-31  6.89e+00
4.13e-02  1.59e-31  7.18e+00
4.64e-02  1.65e-31  7.47e+00
5.21e-02  1.70e-31  7.79e+00
5.86e-02  1.76e-31  8.09e+00
6.58e-02  1.82e-31  8.38e+00
7.39e-02  1.89e-31  8.66e+00
8.30e-02  1.98e-31  8.94e+00
9.33e-02  2.08e-31  9.24e+00
1.05e-01  2.17e-31  9.61e+00
1.18e-01  2.21e-31  1.01e+01
1.32e-01  2.16e-31  1.08e+01
1.48e-01  2.04e-31  1.16e+01
1.67e-01  1.88e-31  1.26e+01
1.87e-01  1.52e-31  1.41e+01
2.10e-01  8.16e-32  1.62e+01
2.36e-01  3.68e-32  1.73e+01
2.66e-01  2.21e-32  1.77e+01
2.98e-01  1.80e-32  1.79e+01
3.35e-01  1.73e-32  1.80e+01
3.76e-01  1.79e-32  1.82e+01
4.23e-01  1.87e-32  1.84e+01
4.75e-01  1.95e-32  1.87e+01
5.34e-01  2.01e-32  1.90e+01
5.99e-01  2.07e-32  1.95e+01
6.73e-01  2.15e-32  2.00e+01
7.56e-01  2.24e-32  2.06e+01
8.50e-01  2.30e-32  2.13e+01
9.55e-01  2.25e-32  2.21e+01
1.07e+00  2.02e-32  2.30e+01
1.20e+00  1.67e-32  2.38e+01
1.35e+00  1.31e-32  2.45e+01
1.52e+00  1.03e-32  2.49e+01
1.71e+00  8.42e-33  2.52e+01
1.92e+00  7.15e-33  2.54e+01
2.15e+00  6.38e-33  2.55e+01
2.42e+00  5.98e-33  2.56e+01
2.72e+00  5.85e-33  2.57e+01
3.05e+00  5.93e-33  2.58e+01
3.43e+00  6.17e-33  2.58e+01
3.85e+00  6.50e-33  2.59e+01
4.33e+00  6.88e-33  2.59e+01
4.86e+00  7.25e-33  2.60e+01
5.46e+00  7.59e-33  2.61e+01
6.14e+00  7.83e-33  2.62e+01
6.89e+00  7.96e-33  2.63e+01
7.74e+00  7.95e-33  2.64e+01
8.70e+00  7.81e-33  2.65e+01
9.77e+00  7.54e-33  2.66e+01
1.10e+01  7.19e-33  2.68e+01
1.23e+01  6.78e-33  2.69e+01
1.38e+01  6.34e-33  2.70e+01
1.56e+01  5.89e-33  2.71e+01
1.75e+01  5.48e-33  2.72e+01
1.96e+01  5.11e-33  2.73e+01
2.21e+01  4.79e-33  2.74e+01
2.48e+01  4.52e-33  2.75e+01
2.78e+01  4.31e-33  2.76e+01
3.13e+01  4.15e-33  2.76e+01
3.51e+01  4.04e-33  2.77e+01
3.94e+01  3.96e-33  2.77e+01
4.43e+01  3.93e-33  2.78e+01
4.98e+01  3.94e-33  2.78e+01
5.59e+01  3.96e-33  2.78e+01
6.28e+01  4.00e-33  2.78e+01
7.05e+01  4.06e-33  2.79e+01
7.92e+01  4.13e-33  2.79e+01
8.90e+01  4.21e-33  2.79e+01
1.00e+02  4.29e-33  2.79e+01
