#ADAS data from Martin O'Mullane at n_e = 10^19 m^-3
#T[keV]  Lz[W m^3]  Z_av
1.00e-03  1.03e-36  4.64e-01
1.12e-03  1.59e-36  7.58e-01
1.26e-03  2.47e-36  9.08e-01
1.42e-03  5.05e-36  9.64e-01
1.59e-03  1.20e-35  9.85e-01
1.79e-03  2.88e-35  9.93e-01
2.01e-03  6.48e-35  9.97e-01
2.26e-03  1.35e-34  1.00e+00
2.54e-03  2.64e-34  1.01e+00
2.85e-03  5.00e-34  1.05e+00
3.20e-03  9.66e-34  1.17e+00
3.59e-03  1.88e-33  1.41e+00
4.04e-03  3.35e-33  1.67e+00
4.53e-03  5.23e-33  1.85e+00
5.09e-03  7.50e-33  1.96e+00
5.72e-03  1.02e-32  2.08e+00
6.43e-03  1.33e-32  2.27e+00
7.22e-03  1.69e-32  2.51e+00
8.11e-03  2.09e-32  2.74e+00
9.11e-03  2.51e-32  2.94e+00
1.02e-02  2.97e-32  3.14e+00
1.15e-02  3.45e-32  3.39e+00
1.29e-02  3.97e-32  3.66e+00
1.45e-02  4.50e-32  3.96e+00
1.63e-02  4.89e-32  4.30e+00
1.83e-02  4.77e-32  4.70e+00
2.06e-02  3.87e-32  5.13e+00
2.31e-02  2.59e-32  5.49e+00
2.60e-02  1.53e-32  5.72e+00
2.92e-02  8.69e-33  5.85e+00
3.27e-02  4.96e-33  5.92e+00
3.68e-02  2.93e-33  5.95e+00
4.13e-02  1.80e-33  5.97e+00
4.64e-02  1.17e-33  5.98e+00
5.21e-02  7.95e-34  5.99e+00
5.86e-02  5.73e-34  5.99e+00
6.58e-02  4.43e-34  6.00e+00
7.39e-02  3.76e-34  6.00e+00
8.30e-02  3.58e-34  6.00e+00
9.33e-02  3.88e-34  6.02e+00
1.05e-01  4.69e-34  6.05e+00
1.18e-01  6.04e-34  6.11e+00
1.32e-01  7.84e-34  6.21e+00
1.48e-01  9.90e-34  6.36e+00
1.67e-01  1.19e-33  6.54e+00
1.87e-01  1.34e-33  6.77e+00
2.10e-01  1.40e-33  7.03e+00
2.36e-01  1.34e-33  7.29e+00
2.66e-01  1.21e-33  7.50e+00
2.98e-01  1.03e-33  7.66e+00
3.35e-01  8.70e-34  7.78e+00
3.76e-01  7.29e-34  7.85e+00
4.23e-01  6.14e-34  7.89e+00
4.75e-01  5.21e-34  7.93e+00
5.34e-01  4.45e-34  7.95e+00
5.99e-01  3.84e-34  7.96e+00
6.73e-01  3.35e-34  7.97e+00
7.56e-01  2.95e-34  7.98e+00
8.50e-01  2.63e-34  7.98e+00
9.55e-01  2.38e-34  7.99e+00
1.07e+00  2.17e-34  7.99e+00
1.20e+00  2.00e-34  7.99e+00
1.35e+00  1.86e-34  7.99e+00
1.52e+00  1.75e-34  7.99e+00
1.71e+00  1.66e-34  8.00e+00
1.92e+00  1.58e-34  8.00e+00
2.15e+00  1.52e-34  8.00e+00
2.42e+00  1.48e-34  8.00e+00
2.72e+00  1.44e-34  8.00e+00
3.05e+00  1.42e-34  8.00e+00
3.43e+00  1.41e-34  8.00e+00
3.85e+00  1.40e-34  8.00e+00
4.33e+00  1.40e-34  8.00e+00
4.86e+00  1.41e-34  8.00e+00
5.46e+00  1.43e-34  8.00e+00
6.14e+00  1.45e-34  8.00e+00
6.89e+00  1.48e-34  8.00e+00
7.74e+00  1.51e-34  8.00e+00
8.70e+00  1.54e-34  8.00e+00
9.77e+00  1.59e-34  8.00e+00
1.10e+01  1.63e-34  8.00e+00
1.23e+01  1.69e-34  8.00e+00
1.38e+01  1.75e-34  8.00e+00
1.56e+01  1.81e-34  8.00e+00
1.75e+01  1.88e-34  8.00e+00
1.96e+01  1.95e-34  8.00e+00
2.21e+01  2.02e-34  8.00e+00
2.48e+01  2.10e-34  8.00e+00
2.78e+01  2.18e-34  8.00e+00
3.13e+01  2.27e-34  8.00e+00
3.51e+01  2.35e-34  8.00e+00
3.94e+01  2.45e-34  8.00e+00
4.43e+01  2.54e-34  8.00e+00
4.98e+01  2.64e-34  8.00e+00
5.59e+01  2.74e-34  8.00e+00
6.28e+01  2.85e-34  8.00e+00
7.05e+01  2.96e-34  8.00e+00
7.92e+01  3.08e-34  8.00e+00
8.90e+01  3.20e-34  8.00e+00
1.00e+02  3.33e-34  8.00e+00
