#ADAS data from Martin O'Mullane at n_e = 10^19 m^-3
#T[keV]  Lz[W m^3]  Z_av
1.00e-03  2.80e-34  9.99e-01
1.12e-03  5.87e-34  1.01e+00
1.26e-03  1.12e-33  1.06e+00
1.42e-03  1.92e-33  1.19e+00
1.59e-03  3.01e-33  1.46e+00
1.79e-03  4.63e-33  1.73e+00
2.01e-03  7.31e-33  1.95e+00
2.26e-03  1.14e-32  2.15e+00
2.54e-03  1.70e-32  2.40e+00
2.85e-03  2.33e-32  2.67e+00
3.20e-03  2.83e-32  2.95e+00
3.59e-03  2.75e-32  3.27e+00
4.04e-03  2.04e-32  3.59e+00
4.53e-03  1.26e-32  3.80e+00
5.09e-03  7.20e-33  3.90e+00
5.72e-03  4.13e-33  3.95e+00
6.43e-03  2.45e-33  3.98e+00
7.22e-03  1.50e-33  3.99e+00
8.11e-03  9.63e-34  3.99e+00
9.11e-03  6.41e-34  4.00e+00
1.02e-02  4.45e-34  4.00e+00
1.15e-02  3.27e-34  4.00e+00
1.29e-02  2.69e-34  4.00e+00
1.45e-02  2.73e-34  4.01e+00
1.63e-02  3.76e-34  4.03e+00
1.83e-02  6.75e-34  4.09e+00
2.06e-02  1.36e-33  4.22e+00
2.31e-02  2.68e-33  4.42e+00
2.60e-02  4.78e-33  4.67e+00
2.92e-02  7.66e-33  4.95e+00
3.27e-02  1.12e-32  5.26e+00
3.68e-02  1.54e-32  5.62e+00
4.13e-02  1.99e-32  6.00e+00
4.64e-02  2.46e-32  6.37e+00
5.21e-02  2.91e-32  6.71e+00
5.86e-02  3.33e-32  7.05e+00
6.58e-02  3.73e-32  7.41e+00
7.39e-02  4.10e-32  7.84e+00
8.30e-02  4.43e-32  8.32e+00
9.33e-02  4.66e-32  8.84e+00
1.05e-01  4.61e-32  9.40e+00
1.18e-01  4.14e-32  9.99e+00
1.32e-01  3.29e-32  1.06e+01
1.48e-01  2.33e-32  1.11e+01
1.67e-01  1.55e-32  1.14e+01
1.87e-01  1.02e-32  1.16e+01
2.10e-01  6.86e-33  1.18e+01
2.36e-01  4.82e-33  1.18e+01
2.66e-01  3.58e-33  1.19e+01
2.98e-01  2.81e-33  1.19e+01
3.35e-01  2.35e-33  1.19e+01
3.76e-01  2.10e-33  1.20e+01
4.23e-01  2.00e-33  1.20e+01
4.75e-01  2.01e-33  1.20e+01
5.34e-01  2.11e-33  1.21e+01
5.99e-01  2.27e-33  1.21e+01
6.73e-01  2.46e-33  1.22e+01
7.56e-01  2.63e-33  1.24e+01
8.50e-01  2.75e-33  1.26e+01
9.55e-01  2.78e-33  1.28e+01
1.07e+00  2.73e-33  1.30e+01
1.20e+00  2.60e-33  1.32e+01
1.35e+00  2.42e-33  1.33e+01
1.52e+00  2.21e-33  1.35e+01
1.71e+00  1.99e-33  1.36e+01
1.92e+00  1.77e-33  1.37e+01
2.15e+00  1.58e-33  1.38e+01
2.42e+00  1.42e-33  1.38e+01
2.72e+00  1.28e-33  1.39e+01
3.05e+00  1.16e-33  1.39e+01
3.43e+00  1.07e-33  1.39e+01
3.85e+00  9.95e-34  1.39e+01
4.33e+00  9.33e-34  1.39e+01
4.86e+00  8.83e-34  1.40e+01
5.46e+00  8.43e-34  1.40e+01
6.14e+00  8.11e-34  1.40e+01
6.89e+00  7.86e-34  1.40e+01
7.74e+00  7.67e-34  1.40e+01
8.70e+00  7.53e-34  1.40e+01
9.77e+00  7.45e-34  1.40e+01
1.10e+01  7.41e-34  1.40e+01
1.23e+01  7.42e-34  1.40e+01
1.38e+01  7.46e-34  1.40e+01
1.56e+01  7.52e-34  1.40e+01
1.75e+01  7.60e-34  1.40e+01
1.96e+01  7.69e-34  1.40e+01
2.21e+01  7.79e-34  1.40e+01
2.48e+01  7.91e-34  1.40e+01
2.78e+01  8.04e-34  1.40e+01
3.13e+01  8.18e-34  1.40e+01
3.51e+01  8.32e-34  1.40e+01
3.94e+01  8.48e-34  1.40e+01
4.43e+01  8.64e-34  1.40e+01
4.98e+01  8.81e-34  1.40e+01
5.59e+01  8.99e-34  1.40e+01
6.28e+01  9.18e-34  1.40e+01
7.05e+01  9.37e-34  1.40e+01
7.92e+01  9.57e-34  1.40e+01
8.90e+01  9.77e-34  1.40e+01
1.00e+02  9.99e-34  1.40e+01
