#ADAS data from Marco Sertoli
#T[keV]  Lz[W m^3]
1.00e-02  3.08e-32
1.04e-02  3.46e-32
1.09e-02  3.88e-32
1.13e-02  4.38e-32
1.18e-02  4.95e-32
1.23e-02  5.54e-32
1.28e-02  6.12e-32
1.34e-02  6.76e-32
1.40e-02  7.49e-32
1.46e-02  8.31e-32
1.52e-02  9.24e-32
1.58e-02  1.03e-31
1.65e-02  1.14e-31
1.72e-02  1.24e-31
1.79e-02  1.34e-31
1.87e-02  1.45e-31
1.95e-02  1.57e-31
2.03e-02  1.70e-31
2.12e-02  1.83e-31
2.21e-02  1.97e-31
2.30e-02  2.10e-31
2.40e-02  2.20e-31
2.50e-02  2.30e-31
2.61e-02  2.40e-31
2.72e-02  2.50e-31
2.83e-02  2.60e-31
2.96e-02  2.69e-31
3.08e-02  2.77e-31
3.21e-02  2.81e-31
3.35e-02  2.84e-31
3.49e-02  2.87e-31
3.64e-02  2.88e-31
3.80e-02  2.88e-31
3.96e-02  2.87e-31
4.13e-02  2.84e-31
4.30e-02  2.80e-31
4.48e-02  2.75e-31
4.67e-02  2.69e-31
4.87e-02  2.61e-31
5.08e-02  2.53e-31
5.30e-02  2.43e-31
5.52e-02  2.32e-31
5.76e-02  2.20e-31
6.00e-02  2.11e-31
6.26e-02  2.03e-31
6.52e-02  1.95e-31
6.80e-02  1.88e-31
7.09e-02  1.82e-31
7.39e-02  1.77e-31
7.71e-02  1.73e-31
8.04e-02  1.71e-31
8.38e-02  1.69e-31
8.73e-02  1.68e-31
9.11e-02  1.67e-31
9.49e-02  1.67e-31
9.90e-02  1.66e-31
1.03e-01  1.66e-31
1.08e-01  1.65e-31
1.12e-01  1.64e-31
1.17e-01  1.63e-31
1.22e-01  1.62e-31
1.27e-01  1.61e-31
1.33e-01  1.60e-31
1.38e-01  1.60e-31
1.44e-01  1.60e-31
1.50e-01  1.59e-31
1.57e-01  1.59e-31
1.63e-01  1.58e-31
1.70e-01  1.58e-31
1.77e-01  1.59e-31
1.85e-01  1.60e-31
1.93e-01  1.62e-31
2.01e-01  1.64e-31
2.10e-01  1.66e-31
2.19e-01  1.68e-31
2.28e-01  1.71e-31
2.37e-01  1.75e-31
2.48e-01  1.79e-31
2.58e-01  1.84e-31
2.69e-01  1.89e-31
2.81e-01  1.94e-31
2.93e-01  1.99e-31
3.05e-01  2.04e-31
3.18e-01  2.09e-31
3.31e-01  2.15e-31
3.46e-01  2.21e-31
3.60e-01  2.28e-31
3.76e-01  2.36e-31
3.92e-01  2.41e-31
4.08e-01  2.48e-31
4.26e-01  2.54e-31
4.44e-01  2.61e-31
4.63e-01  2.69e-31
4.82e-01  2.78e-31
5.03e-01  2.87e-31
5.24e-01  2.94e-31
5.47e-01  3.02e-31
5.70e-01  3.09e-31
5.94e-01  3.17e-31
6.19e-01  3.25e-31
6.46e-01  3.34e-31
6.73e-01  3.43e-31
7.02e-01  3.52e-31
7.32e-01  3.59e-31
7.63e-01  3.66e-31
7.95e-01  3.73e-31
8.29e-01  3.80e-31
8.65e-01  3.88e-31
9.01e-01  3.96e-31
9.40e-01  4.04e-31
9.80e-01  4.11e-31
1.02e+00  4.17e-31
1.06e+00  4.23e-31
1.11e+00  4.29e-31
1.16e+00  4.36e-31
1.21e+00  4.42e-31
1.26e+00  4.48e-31
1.31e+00  4.53e-31
1.37e+00  4.56e-31
1.43e+00  4.58e-31
1.49e+00  4.59e-31
1.55e+00  4.59e-31
1.62e+00  4.59e-31
1.68e+00  4.57e-31
1.76e+00  4.55e-31
1.83e+00  4.51e-31
1.91e+00  4.46e-31
1.99e+00  4.40e-31
2.07e+00  4.32e-31
2.16e+00  4.22e-31
2.25e+00  4.08e-31
2.35e+00  3.90e-31
2.45e+00  3.66e-31
2.56e+00  3.40e-31
2.66e+00  3.11e-31
2.78e+00  2.83e-31
2.90e+00  2.58e-31
3.02e+00  2.38e-31
3.15e+00  2.23e-31
3.28e+00  2.13e-31
3.42e+00  2.05e-31
3.57e+00  2.00e-31
3.72e+00  1.96e-31
3.88e+00  1.94e-31
4.04e+00  1.92e-31
4.21e+00  1.91e-31
4.39e+00  1.90e-31
4.58e+00  1.89e-31
4.77e+00  1.88e-31
4.98e+00  1.86e-31
5.19e+00  1.85e-31
5.41e+00  1.84e-31
5.64e+00  1.82e-31
5.88e+00  1.80e-31
6.13e+00  1.77e-31
6.39e+00  1.74e-31
6.66e+00  1.70e-31
6.95e+00  1.65e-31
7.24e+00  1.60e-31
7.55e+00  1.55e-31
7.87e+00  1.50e-31
8.21e+00  1.45e-31
8.56e+00  1.40e-31
8.92e+00  1.36e-31
9.30e+00  1.32e-31
9.70e+00  1.28e-31
1.01e+01  1.25e-31
1.05e+01  1.22e-31
1.10e+01  1.19e-31
1.15e+01  1.16e-31
1.19e+01  1.13e-31
1.25e+01  1.10e-31
1.30e+01  1.07e-31
1.35e+01  1.03e-31
1.41e+01  1.00e-31
1.47e+01  9.66e-32
1.53e+01  9.30e-32
1.60e+01  8.96e-32
1.67e+01  8.64e-32
1.74e+01  8.32e-32
1.81e+01  8.01e-32
1.89e+01  7.71e-32
1.97e+01  7.42e-32
2.05e+01  7.15e-32
2.14e+01  6.89e-32
2.23e+01  6.67e-32
2.33e+01  6.46e-32
2.43e+01  6.28e-32
2.53e+01  6.10e-32
2.64e+01  5.94e-32
2.75e+01  5.79e-32
2.87e+01  5.66e-32
2.99e+01  5.54e-32
3.11e+01  5.44e-32
3.25e+01  5.35e-32
3.39e+01  5.27e-32
3.53e+01  5.19e-32
3.68e+01  5.11e-32
3.84e+01  5.04e-32
4.00e+01  4.97e-32
