#ADAS data from Marco Sertoli
#T[keV]  Lz[W m^3]
1.00e-02  2.55e-31
1.04e-02  2.67e-31
1.09e-02  2.79e-31
1.13e-02  2.92e-31
1.18e-02  3.04e-31
1.23e-02  3.15e-31
1.28e-02  3.22e-31
1.34e-02  3.25e-31
1.40e-02  3.19e-31
1.46e-02  3.09e-31
1.52e-02  2.96e-31
1.58e-02  2.81e-31
1.65e-02  2.67e-31
1.72e-02  2.56e-31
1.79e-02  2.47e-31
1.87e-02  2.40e-31
1.95e-02  2.36e-31
2.03e-02  2.32e-31
2.12e-02  2.28e-31
2.21e-02  2.25e-31
2.30e-02  2.22e-31
2.40e-02  2.19e-31
2.50e-02  2.16e-31
2.61e-02  2.13e-31
2.72e-02  2.10e-31
2.83e-02  2.07e-31
2.96e-02  2.03e-31
3.08e-02  1.99e-31
3.21e-02  1.95e-31
3.35e-02  1.91e-31
3.49e-02  1.88e-31
3.64e-02  1.86e-31
3.80e-02  1.85e-31
3.96e-02  1.86e-31
4.13e-02  1.88e-31
4.30e-02  1.91e-31
4.48e-02  1.93e-31
4.67e-02  1.98e-31
4.87e-02  2.03e-31
5.08e-02  2.11e-31
5.30e-02  2.20e-31
5.52e-02  2.30e-31
5.76e-02  2.41e-31
6.00e-02  2.53e-31
6.26e-02  2.61e-31
6.52e-02  2.67e-31
6.80e-02  2.73e-31
7.09e-02  2.79e-31
7.39e-02  2.85e-31
7.71e-02  2.90e-31
8.04e-02  2.94e-31
8.38e-02  2.97e-31
8.73e-02  2.99e-31
9.11e-02  2.97e-31
9.49e-02  2.94e-31
9.90e-02  2.89e-31
1.03e-01  2.83e-31
1.08e-01  2.76e-31
1.12e-01  2.67e-31
1.17e-01  2.58e-31
1.22e-01  2.47e-31
1.27e-01  2.36e-31
1.33e-01  2.26e-31
1.38e-01  2.17e-31
1.44e-01  2.11e-31
1.50e-01  2.07e-31
1.57e-01  2.06e-31
1.63e-01  2.09e-31
1.70e-01  2.15e-31
1.77e-01  2.25e-31
1.85e-01  2.37e-31
1.93e-01  2.48e-31
2.01e-01  2.60e-31
2.10e-01  2.72e-31
2.19e-01  2.86e-31
2.28e-01  2.99e-31
2.37e-01  3.12e-31
2.48e-01  3.22e-31
2.58e-01  3.29e-31
2.69e-01  3.29e-31
2.81e-01  3.21e-31
2.93e-01  3.09e-31
3.05e-01  2.94e-31
3.18e-01  2.79e-31
3.31e-01  2.64e-31
3.46e-01  2.51e-31
3.60e-01  2.39e-31
3.76e-01  2.28e-31
3.92e-01  2.18e-31
4.08e-01  2.09e-31
4.26e-01  2.01e-31
4.44e-01  1.93e-31
4.63e-01  1.85e-31
4.82e-01  1.77e-31
5.03e-01  1.69e-31
5.24e-01  1.59e-31
5.47e-01  1.47e-31
5.70e-01  1.32e-31
5.94e-01  1.17e-31
6.19e-01  1.02e-31
6.46e-01  8.90e-32
6.73e-01  7.92e-32
7.02e-01  7.32e-32
7.32e-01  7.02e-32
7.63e-01  6.93e-32
7.95e-01  6.98e-32
8.29e-01  7.10e-32
8.65e-01  7.20e-32
9.01e-01  7.33e-32
9.40e-01  7.48e-32
9.80e-01  7.65e-32
1.02e+00  7.82e-32
1.06e+00  8.00e-32
1.11e+00  8.18e-32
1.16e+00  8.37e-32
1.21e+00  8.55e-32
1.26e+00  8.67e-32
1.31e+00  8.80e-32
1.37e+00  8.92e-32
1.43e+00  9.06e-32
1.49e+00  9.20e-32
1.55e+00  9.34e-32
1.62e+00  9.49e-32
1.68e+00  9.64e-32
1.76e+00  9.76e-32
1.83e+00  9.81e-32
1.91e+00  9.83e-32
1.99e+00  9.81e-32
2.07e+00  9.70e-32
2.16e+00  9.48e-32
2.25e+00  9.08e-32
2.35e+00  8.49e-32
2.45e+00  7.71e-32
2.56e+00  6.88e-32
2.66e+00  6.15e-32
2.78e+00  5.51e-32
2.90e+00  4.99e-32
3.02e+00  4.58e-32
3.15e+00  4.26e-32
3.28e+00  4.01e-32
3.42e+00  3.81e-32
3.57e+00  3.65e-32
3.72e+00  3.52e-32
3.88e+00  3.42e-32
4.04e+00  3.33e-32
4.21e+00  3.26e-32
4.39e+00  3.20e-32
4.58e+00  3.16e-32
4.77e+00  3.12e-32
4.98e+00  3.10e-32
5.19e+00  3.10e-32
5.41e+00  3.10e-32
5.64e+00  3.10e-32
5.88e+00  3.11e-32
6.13e+00  3.12e-32
6.39e+00  3.14e-32
6.66e+00  3.17e-32
6.95e+00  3.19e-32
7.24e+00  3.22e-32
7.55e+00  3.24e-32
7.87e+00  3.24e-32
8.21e+00  3.23e-32
8.56e+00  3.19e-32
8.92e+00  3.14e-32
9.30e+00  3.06e-32
9.70e+00  2.96e-32
1.01e+01  2.84e-32
1.05e+01  2.71e-32
1.10e+01  2.57e-32
1.15e+01  2.45e-32
1.19e+01  2.34e-32
1.25e+01  2.24e-32
1.30e+01  2.16e-32
1.35e+01  2.08e-32
1.41e+01  2.01e-32
1.47e+01  1.95e-32
1.53e+01  1.90e-32
1.60e+01  1.86e-32
1.67e+01  1.82e-32
1.74e+01  1.80e-32
1.81e+01  1.77e-32
1.89e+01  1.75e-32
1.97e+01  1.74e-32
2.05e+01  1.72e-32
2.14e+01  1.71e-32
2.23e+01  1.70e-32
2.33e+01  1.69e-32
2.43e+01  1.69e-32
2.53e+01  1.69e-32
2.64e+01  1.70e-32
2.75e+01  1.70e-32
2.87e+01  1.71e-32
2.99e+01  1.71e-32
3.11e+01  1.72e-32
3.25e+01  1.73e-32
3.39e+01  1.75e-32
3.53e+01  1.76e-32
3.68e+01  1.78e-32
3.84e+01  1.79e-32
4.00e+01  1.81e-32
