#ADAS data from Martin O'Mullane at n_e = 10^19 m^-3
#T[keV]  Lz[W m^3]  Z_av
1.00e-03  6.88e-33  9.88e-01
1.12e-03  1.01e-32  1.00e+00
1.26e-03  1.38e-32  1.04e+00
1.42e-03  1.64e-32  1.16e+00
1.59e-03  1.49e-32  1.42e+00
1.79e-03  9.76e-33  1.70e+00
2.01e-03  5.20e-33  1.87e+00
2.26e-03  2.62e-33  1.95e+00
2.54e-03  1.35e-33  1.98e+00
2.85e-03  7.23e-34  1.99e+00
3.20e-03  4.06e-34  2.00e+00
3.59e-03  2.39e-34  2.00e+00
4.04e-03  1.47e-34  2.00e+00
4.53e-03  9.38e-35  2.00e+00
5.09e-03  6.23e-35  2.00e+00
5.72e-03  4.28e-35  2.00e+00
6.43e-03  3.03e-35  2.00e+00
7.22e-03  2.19e-35  2.00e+00
8.11e-03  1.62e-35  2.00e+00
9.11e-03  1.25e-35  2.00e+00
1.02e-02  1.05e-35  2.00e+00
1.15e-02  1.10e-35  2.01e+00
1.29e-02  1.64e-35  2.03e+00
1.45e-02  3.03e-35  2.11e+00
1.63e-02  5.23e-35  2.29e+00
1.83e-02  7.22e-35  2.55e+00
2.06e-02  8.50e-35  2.76e+00
2.31e-02  1.01e-34  2.89e+00
2.60e-02  1.35e-34  2.98e+00
2.92e-02  1.91e-34  3.08e+00
3.27e-02  2.58e-34  3.23e+00
3.68e-02  3.01e-34  3.45e+00
4.13e-02  2.97e-34  3.65e+00
4.64e-02  2.61e-34  3.79e+00
5.21e-02  2.16e-34  3.88e+00
5.86e-02  1.75e-34  3.93e+00
6.58e-02  1.42e-34  3.96e+00
7.39e-02  1.15e-34  3.98e+00
8.30e-02  9.50e-35  3.98e+00
9.33e-02  7.90e-35  3.99e+00
1.05e-01  6.64e-35  3.99e+00
1.18e-01  5.64e-35  4.00e+00
1.32e-01  4.85e-35  4.00e+00
1.48e-01  4.21e-35  4.00e+00
1.67e-01  3.70e-35  4.00e+00
1.87e-01  3.29e-35  4.00e+00
2.10e-01  2.96e-35  4.00e+00
2.36e-01  2.69e-35  4.00e+00
2.66e-01  2.48e-35  4.00e+00
2.98e-01  2.30e-35  4.00e+00
3.35e-01  2.15e-35  4.00e+00
3.76e-01  2.03e-35  4.00e+00
4.23e-01  1.94e-35  4.00e+00
4.75e-01  1.86e-35  4.00e+00
5.34e-01  1.81e-35  4.00e+00
5.99e-01  1.77e-35  4.00e+00
6.73e-01  1.74e-35  4.00e+00
7.56e-01  1.72e-35  4.00e+00
8.50e-01  1.71e-35  4.00e+00
9.55e-01  1.71e-35  4.00e+00
1.07e+00  1.72e-35  4.00e+00
1.20e+00  1.74e-35  4.00e+00
1.35e+00  1.76e-35  4.00e+00
1.52e+00  1.79e-35  4.00e+00
1.71e+00  1.82e-35  4.00e+00
1.92e+00  1.87e-35  4.00e+00
2.15e+00  1.92e-35  4.00e+00
2.42e+00  1.97e-35  4.00e+00
2.72e+00  2.04e-35  4.00e+00
3.05e+00  2.11e-35  4.00e+00
3.43e+00  2.18e-35  4.00e+00
3.85e+00  2.26e-35  4.00e+00
4.33e+00  2.34e-35  4.00e+00
4.86e+00  2.42e-35  4.00e+00
5.46e+00  2.51e-35  4.00e+00
6.14e+00  2.60e-35  4.00e+00
6.89e+00  2.70e-35  4.00e+00
7.74e+00  2.80e-35  4.00e+00
8.70e+00  2.90e-35  4.00e+00
9.77e+00  3.01e-35  4.00e+00
1.10e+01  3.13e-35  4.00e+00
1.23e+01  3.25e-35  4.00e+00
1.38e+01  3.37e-35  4.00e+00
1.56e+01  3.50e-35  4.00e+00
1.75e+01  3.64e-35  4.00e+00
1.96e+01  3.78e-35  4.00e+00
2.21e+01  3.92e-35  4.00e+00
2.48e+01  4.07e-35  4.00e+00
2.78e+01  4.23e-35  4.00e+00
3.13e+01  4.39e-35  4.00e+00
3.51e+01  4.57e-35  4.00e+00
3.94e+01  4.74e-35  4.00e+00
4.43e+01  4.92e-35  4.00e+00
4.98e+01  5.11e-35  4.00e+00
5.59e+01  5.31e-35  4.00e+00
6.28e+01  5.52e-35  4.00e+00
7.05e+01  5.73e-35  4.00e+00
7.92e+01  5.95e-35  4.00e+00
8.90e+01  6.18e-35  4.00e+00
1.00e+02  6.42e-35  4.00e+00
