#ADAS data from Martin O'Mullane at n_e = 10^19 m^-3
#T[keV]  Lz[W m^3]  Z_av
1.00e-03  7.28e-33  3.98e-01
1.12e-03  1.08e-32  5.44e-01
1.26e-03  1.46e-32  6.88e-01
1.42e-03  1.75e-32  8.52e-01
1.59e-03  1.74e-32  1.10e+00
1.79e-03  1.34e-32  1.43e+00
2.01e-03  8.73e-33  1.70e+00
2.26e-03  6.58e-33  1.85e+00
2.54e-03  6.56e-33  1.94e+00
2.85e-03  7.21e-33  2.09e+00
3.20e-03  7.12e-33  2.37e+00
3.59e-03  6.52e-33  2.64e+00
4.04e-03  6.87e-33  2.80e+00
4.53e-03  8.65e-33  2.90e+00
5.09e-03  1.16e-32  3.02e+00
5.72e-03  1.50e-32  3.17e+00
6.43e-03  1.81e-32  3.37e+00
7.22e-03  2.05e-32  3.59e+00
8.11e-03  2.23e-32  3.83e+00
9.11e-03  2.41e-32  4.07e+00
1.02e-02  2.66e-32  4.29e+00
1.15e-02  3.02e-32  4.49e+00
1.29e-02  3.50e-32  4.65e+00
1.45e-02  4.05e-32  4.80e+00
1.63e-02  4.63e-32  4.95e+00
1.83e-02  5.13e-32  5.09e+00
2.06e-02  5.48e-32  5.25e+00
2.31e-02  5.62e-32  5.43e+00
2.60e-02  5.51e-32  5.62e+00
2.92e-02  5.22e-32  5.83e+00
3.27e-02  4.80e-32  6.06e+00
3.68e-02  4.40e-32  6.29e+00
4.13e-02  4.27e-32  6.55e+00
4.64e-02  4.76e-32  6.81e+00
5.21e-02  6.16e-32  7.11e+00
5.86e-02  8.60e-32  7.45e+00
6.58e-02  1.19e-31  7.88e+00
7.39e-02  1.53e-31  8.41e+00
8.30e-02  1.78e-31  9.05e+00
9.33e-02  1.83e-31  9.75e+00
1.05e-01  1.64e-31  1.05e+01
1.18e-01  1.31e-31  1.12e+01
1.32e-01  9.49e-32  1.22e+01
1.48e-01  5.99e-32  1.37e+01
1.67e-01  3.28e-32  1.49e+01
1.87e-01  1.95e-32  1.55e+01
2.10e-01  1.49e-32  1.58e+01
2.36e-01  1.48e-32  1.59e+01
2.66e-01  1.75e-32  1.60e+01
2.98e-01  2.23e-32  1.62e+01
3.35e-01  2.86e-32  1.64e+01
3.76e-01  3.48e-32  1.66e+01
4.23e-01  3.90e-32  1.70e+01
4.75e-01  3.98e-32  1.74e+01
5.34e-01  3.72e-32  1.78e+01
5.99e-01  3.28e-32  1.84e+01
6.73e-01  2.84e-32  1.90e+01
7.56e-01  2.52e-32  1.97e+01
8.50e-01  2.32e-32  2.06e+01
9.55e-01  2.13e-32  2.15e+01
1.07e+00  1.87e-32  2.23e+01
1.20e+00  1.57e-32  2.28e+01
1.35e+00  1.29e-32  2.31e+01
1.52e+00  1.07e-32  2.34e+01
1.71e+00  9.13e-33  2.35e+01
1.92e+00  8.16e-33  2.36e+01
2.15e+00  7.64e-33  2.37e+01
2.42e+00  7.47e-33  2.38e+01
2.72e+00  7.54e-33  2.38e+01
3.05e+00  7.78e-33  2.39e+01
3.43e+00  8.11e-33  2.40e+01
3.85e+00  8.46e-33  2.40e+01
4.33e+00  8.76e-33  2.41e+01
4.86e+00  8.94e-33  2.42e+01
5.46e+00  8.99e-33  2.43e+01
6.14e+00  8.87e-33  2.44e+01
6.89e+00  8.59e-33  2.46e+01
7.74e+00  8.19e-33  2.47e+01
8.70e+00  7.70e-33  2.49e+01
9.77e+00  7.18e-33  2.50e+01
1.10e+01  6.67e-33  2.51e+01
1.23e+01  6.21e-33  2.52e+01
1.38e+01  5.79e-33  2.53e+01
1.56e+01  5.43e-33  2.54e+01
1.75e+01  5.13e-33  2.55e+01
1.96e+01  4.90e-33  2.56e+01
2.21e+01  4.72e-33  2.56e+01
2.48e+01  4.60e-33  2.57e+01
2.78e+01  4.51e-33  2.57e+01
3.13e+01  4.47e-33  2.58e+01
3.51e+01  4.45e-33  2.58e+01
3.94e+01  4.47e-33  2.58e+01
4.43e+01  4.51e-33  2.58e+01
4.98e+01  4.57e-33  2.59e+01
5.59e+01  4.65e-33  2.59e+01
6.28e+01  4.73e-33  2.59e+01
7.05e+01  4.83e-33  2.59e+01
7.92e+01  4.94e-33  2.59e+01
8.90e+01  5.05e-33  2.59e+01
1.00e+02  5.17e-33  2.59e+01
