#ADAS data from Martin O'Mullane at n_e = 10^19 m^-3
#T[keV]  Lz[W m^3]  Z_av
1.00e-03  1.81e-37  6.72e-01
1.12e-03  2.41e-37  9.11e-01
1.26e-03  4.59e-37  9.79e-01
1.42e-03  1.49e-36  9.98e-01
1.59e-03  5.38e-36  1.02e+00
1.79e-03  2.02e-35  1.14e+00
2.01e-03  8.05e-35  1.44e+00
2.26e-03  2.59e-34  1.76e+00
2.54e-03  6.31e-34  1.92e+00
2.85e-03  1.32e-33  1.99e+00
3.20e-03  2.59e-33  2.07e+00
3.59e-03  4.95e-33  2.22e+00
4.04e-03  9.07e-33  2.43e+00
4.53e-03  1.53e-32  2.65e+00
5.09e-03  2.33e-32  2.82e+00
5.72e-03  3.28e-32  2.96e+00
6.43e-03  4.37e-32  3.12e+00
7.22e-03  5.62e-32  3.31e+00
8.11e-03  7.08e-32  3.53e+00
9.11e-03  8.81e-32  3.76e+00
1.02e-02  1.09e-31  3.98e+00
1.15e-02  1.34e-31  4.20e+00
1.29e-02  1.65e-31  4.45e+00
1.45e-02  1.99e-31  4.71e+00
1.63e-02  2.32e-31  5.01e+00
1.83e-02  2.57e-31  5.34e+00
2.06e-02  2.66e-31  5.71e+00
2.31e-02  2.55e-31  6.09e+00
2.60e-02  2.28e-31  6.47e+00
2.92e-02  1.94e-31  6.80e+00
3.27e-02  1.59e-31  7.11e+00
3.68e-02  1.24e-31  7.44e+00
4.13e-02  8.92e-32  7.84e+00
4.64e-02  5.82e-32  8.34e+00
5.21e-02  3.61e-32  8.93e+00
5.86e-02  2.61e-32  9.56e+00
6.58e-02  2.60e-32  1.02e+01
7.39e-02  3.18e-32  1.08e+01
8.30e-02  4.08e-32  1.14e+01
9.33e-02  5.27e-32  1.20e+01
1.05e-01  6.67e-32  1.27e+01
1.18e-01  8.08e-32  1.34e+01
1.32e-01  9.34e-32  1.39e+01
1.48e-01  1.05e-31  1.43e+01
1.67e-01  1.15e-31  1.46e+01
1.87e-01  1.25e-31  1.49e+01
2.10e-01  1.35e-31  1.52e+01
2.36e-01  1.45e-31  1.55e+01
2.66e-01  1.55e-31  1.59e+01
2.98e-01  1.62e-31  1.63e+01
3.35e-01  1.65e-31  1.69e+01
3.76e-01  1.56e-31  1.83e+01
4.23e-01  1.28e-31  2.06e+01
4.75e-01  9.63e-32  2.25e+01
5.34e-01  7.76e-32  2.35e+01
5.99e-01  6.58e-32  2.40e+01
6.73e-01  5.69e-32  2.43e+01
7.56e-01  5.01e-32  2.46e+01
8.50e-01  4.49e-32  2.48e+01
9.55e-01  4.11e-32  2.49e+01
1.07e+00  3.85e-32  2.51e+01
1.20e+00  3.68e-32  2.52e+01
1.35e+00  3.58e-32  2.54e+01
1.52e+00  3.53e-32  2.57e+01
1.71e+00  3.48e-32  2.61e+01
1.92e+00  3.38e-32  2.69e+01
2.15e+00  3.11e-32  2.80e+01
2.42e+00  2.67e-32  2.94e+01
2.72e+00  2.17e-32  3.06e+01
3.05e+00  1.75e-32  3.15e+01
3.43e+00  1.43e-32  3.21e+01
3.85e+00  1.20e-32  3.26e+01
4.33e+00  1.03e-32  3.29e+01
4.86e+00  9.13e-33  3.31e+01
5.46e+00  8.38e-33  3.33e+01
6.14e+00  7.90e-33  3.34e+01
6.89e+00  7.63e-33  3.35e+01
7.74e+00  7.51e-33  3.36e+01
8.70e+00  7.50e-33  3.37e+01
9.77e+00  7.55e-33  3.38e+01
1.10e+01  7.66e-33  3.39e+01
1.23e+01  7.79e-33  3.40e+01
1.38e+01  7.95e-33  3.41e+01
1.56e+01  8.12e-33  3.42e+01
1.75e+01  8.29e-33  3.43e+01
1.96e+01  8.46e-33  3.44e+01
2.21e+01  8.62e-33  3.45e+01
2.48e+01  8.78e-33  3.46e+01
2.78e+01  8.94e-33  3.47e+01
3.13e+01  9.10e-33  3.48e+01
3.51e+01  9.26e-33  3.49e+01
3.94e+01  9.43e-33  3.50e+01
4.43e+01  9.61e-33  3.51e+01
4.98e+01  9.81e-33  3.52e+01
5.59e+01  9.99e-33  3.53e+01
6.28e+01  1.02e-32  3.54e+01
7.05e+01  1.04e-32  3.55e+01
7.92e+01  1.05e-32  3.55e+01
8.90e+01  1.07e-32  3.56e+01
1.00e+02  1.09e-32  3.57e+01
