#ADAS data from Martin O'Mullane at n_e = 10^19 m^-3
#T[keV]  Lz[W m^3]  Z_av
1.00e-03  1.09e-39  0.00e+00
1.12e-03  6.84e-39  1.00e-03
1.26e-03  3.76e-38  7.00e-03
1.42e-03  1.71e-37  4.60e-02
1.59e-03  5.71e-37  2.04e-01
1.79e-03  1.13e-36  5.41e-01
2.01e-03  1.39e-36  8.26e-01
2.26e-03  1.69e-36  9.45e-01
2.54e-03  3.18e-36  9.87e-01
2.85e-03  8.48e-36  1.02e+00
3.20e-03  2.56e-35  1.10e+00
3.59e-03  7.88e-35  1.31e+00
4.04e-03  2.13e-34  1.60e+00
4.53e-03  4.68e-34  1.81e+00
5.09e-03  8.77e-34  1.92e+00
5.72e-03  1.49e-33  1.99e+00
6.43e-03  2.40e-33  2.07e+00
7.22e-03  3.67e-33  2.24e+00
8.11e-03  5.34e-33  2.51e+00
9.11e-03  7.33e-33  2.76e+00
1.02e-02  9.75e-33  2.95e+00
1.15e-02  1.29e-32  3.13e+00
1.29e-02  1.70e-32  3.35e+00
1.45e-02  2.18e-32  3.59e+00
1.63e-02  2.70e-32  3.83e+00
1.83e-02  3.20e-32  4.07e+00
2.06e-02  3.65e-32  4.33e+00
2.31e-02  4.06e-32  4.60e+00
2.60e-02  4.42e-32  4.88e+00
2.92e-02  4.73e-32  5.19e+00
3.27e-02  4.88e-32  5.60e+00
3.68e-02  4.62e-32  6.15e+00
4.13e-02  3.74e-32  6.78e+00
4.64e-02  2.55e-32  7.29e+00
5.21e-02  1.56e-32  7.61e+00
5.86e-02  9.29e-33  7.78e+00
6.58e-02  5.61e-33  7.88e+00
7.39e-02  3.50e-33  7.93e+00
8.30e-02  2.28e-33  7.95e+00
9.33e-02  1.57e-33  7.97e+00
1.05e-01  1.14e-33  7.98e+00
1.18e-01  8.90e-34  7.99e+00
1.32e-01  7.51e-34  7.99e+00
1.48e-01  6.95e-34  8.00e+00
1.67e-01  7.12e-34  8.02e+00
1.87e-01  7.95e-34  8.05e+00
2.10e-01  9.38e-34  8.11e+00
2.36e-01  1.13e-33  8.21e+00
2.66e-01  1.33e-33  8.36e+00
2.98e-01  1.50e-33  8.57e+00
3.35e-01  1.59e-33  8.84e+00
3.76e-01  1.55e-33  9.13e+00
4.23e-01  1.42e-33  9.39e+00
4.75e-01  1.24e-33  9.59e+00
5.34e-01  1.06e-33  9.72e+00
5.99e-01  9.05e-34  9.81e+00
6.73e-01  7.79e-34  9.87e+00
7.56e-01  6.79e-34  9.90e+00
8.50e-01  5.99e-34  9.93e+00
9.55e-01  5.36e-34  9.95e+00
1.07e+00  4.85e-34  9.96e+00
1.20e+00  4.43e-34  9.97e+00
1.35e+00  4.08e-34  9.97e+00
1.52e+00  3.79e-34  9.98e+00
1.71e+00  3.54e-34  9.98e+00
1.92e+00  3.34e-34  9.99e+00
2.15e+00  3.18e-34  9.99e+00
2.42e+00  3.04e-34  9.99e+00
2.72e+00  2.93e-34  9.99e+00
3.05e+00  2.84e-34  9.99e+00
3.43e+00  2.78e-34  9.99e+00
3.85e+00  2.73e-34  9.99e+00
4.33e+00  2.69e-34  9.99e+00
4.86e+00  2.68e-34  1.00e+01
5.46e+00  2.67e-34  1.00e+01
6.14e+00  2.68e-34  1.00e+01
6.89e+00  2.69e-34  1.00e+01
7.74e+00  2.73e-34  1.00e+01
8.70e+00  2.77e-34  1.00e+01
9.77e+00  2.82e-34  1.00e+01
1.10e+01  2.88e-34  1.00e+01
1.23e+01  2.95e-34  1.00e+01
1.38e+01  3.02e-34  1.00e+01
1.56e+01  3.11e-34  1.00e+01
1.75e+01  3.19e-34  1.00e+01
1.96e+01  3.28e-34  1.00e+01
2.21e+01  3.38e-34  1.00e+01
2.48e+01  3.48e-34  1.00e+01
2.78e+01  3.59e-34  1.00e+01
3.13e+01  3.70e-34  1.00e+01
3.51e+01  3.81e-34  1.00e+01
3.94e+01  3.93e-34  1.00e+01
4.43e+01  4.05e-34  1.00e+01
4.98e+01  4.18e-34  1.00e+01
5.59e+01  4.31e-34  1.00e+01
6.28e+01  4.45e-34  1.00e+01
7.05e+01  4.59e-34  1.00e+01
7.92e+01  4.74e-34  1.00e+01
8.90e+01  4.90e-34  1.00e+01
1.00e+02  5.05e-34  1.00e+01
