#ADAS data from Martin O'Mullane at n_e = 10^19 m^-3
#T[keV]  Lz[W m^3]  Z_av
1.00e-03  1.11e-35  9.71e-01
1.12e-03  1.71e-35  1.00e+00
1.26e-03  2.64e-35  1.06e+00
1.42e-03  3.85e-35  1.22e+00
1.59e-03  5.12e-35  1.47e+00
1.79e-03  6.83e-35  1.70e+00
2.01e-03  1.06e-34  1.85e+00
2.26e-03  1.95e-34  1.96e+00
2.54e-03  3.76e-34  2.08e+00
2.85e-03  6.48e-34  2.24e+00
3.20e-03  9.27e-34  2.44e+00
3.59e-03  1.21e-33  2.65e+00
4.04e-03  1.63e-33  2.85e+00
4.53e-03  2.38e-33  3.07e+00
5.09e-03  3.60e-33  3.33e+00
5.72e-03  5.45e-33  3.59e+00
6.43e-03  8.17e-33  3.83e+00
7.22e-03  1.20e-32  4.04e+00
8.11e-03  1.73e-32  4.26e+00
9.11e-03  2.46e-32  4.49e+00
1.02e-02  3.46e-32  4.74e+00
1.15e-02  4.73e-32  5.00e+00
1.29e-02  6.31e-32  5.25e+00
1.45e-02  8.29e-32  5.47e+00
1.63e-02  1.09e-31  5.65e+00
1.83e-02  1.42e-31  5.80e+00
2.06e-02  1.80e-31  5.94e+00
2.31e-02  2.20e-31  6.11e+00
2.60e-02  2.56e-31  6.32e+00
2.92e-02  2.83e-31  6.60e+00
3.27e-02  3.00e-31  6.97e+00
3.68e-02  3.05e-31  7.43e+00
4.13e-02  2.97e-31  7.98e+00
4.64e-02  2.79e-31  8.61e+00
5.21e-02  2.53e-31  9.29e+00
5.86e-02  2.23e-31  1.00e+01
6.58e-02  1.96e-31  1.08e+01
7.39e-02  1.79e-31  1.17e+01
8.30e-02  1.71e-31  1.24e+01
9.33e-02  1.68e-31  1.31e+01
1.05e-01  1.67e-31  1.38e+01
1.18e-01  1.64e-31  1.44e+01
1.32e-01  1.62e-31  1.50e+01
1.48e-01  1.61e-31  1.57e+01
1.67e-01  1.61e-31  1.64e+01
1.87e-01  1.63e-31  1.72e+01
2.10e-01  1.69e-31  1.79e+01
2.36e-01  1.77e-31  1.86e+01
2.66e-01  1.89e-31  1.93e+01
2.98e-01  2.03e-31  1.99e+01
3.35e-01  2.18e-31  2.05e+01
3.76e-01  2.35e-31  2.11e+01
4.23e-01  2.54e-31  2.17e+01
4.75e-01  2.75e-31  2.23e+01
5.34e-01  2.96e-31  2.29e+01
5.99e-01  3.19e-31  2.35e+01
6.73e-01  3.41e-31  2.41e+01
7.56e-01  3.63e-31  2.47e+01
8.50e-01  3.84e-31  2.53e+01
9.55e-01  4.04e-31  2.60e+01
1.07e+00  4.23e-31  2.67e+01
1.20e+00  4.41e-31  2.76e+01
1.35e+00  4.56e-31  2.88e+01
1.52e+00  4.63e-31  3.00e+01
1.71e+00  4.62e-31  3.14e+01
1.92e+00  4.52e-31  3.28e+01
2.15e+00  4.32e-31  3.43e+01
2.42e+00  3.88e-31  3.64e+01
2.72e+00  3.10e-31  3.97e+01
3.05e+00  2.40e-31  4.26e+01
3.43e+00  2.07e-31  4.42e+01
3.85e+00  1.95e-31  4.51e+01
4.33e+00  1.90e-31  4.58e+01
4.86e+00  1.88e-31  4.65e+01
5.46e+00  1.84e-31  4.74e+01
6.14e+00  1.77e-31  4.85e+01
6.89e+00  1.66e-31  4.98e+01
7.74e+00  1.53e-31  5.12e+01
8.70e+00  1.39e-31  5.27e+01
9.77e+00  1.28e-31  5.43e+01
1.10e+01  1.19e-31  5.58e+01
1.23e+01  1.11e-31  5.72e+01
1.38e+01  1.02e-31  5.86e+01
1.56e+01  9.21e-32  5.98e+01
1.75e+01  8.28e-32  6.09e+01
1.96e+01  7.44e-32  6.18e+01
2.21e+01  6.73e-32  6.28e+01
2.48e+01  6.17e-32  6.36e+01
2.78e+01  5.74e-32  6.45e+01
3.13e+01  5.43e-32  6.53e+01
3.51e+01  5.19e-32  6.61e+01
3.94e+01  4.99e-32  6.68e+01
4.43e+01  4.82e-32  6.75e+01
4.98e+01  4.66e-32  6.80e+01
5.59e+01  4.52e-32  6.86e+01
6.28e+01  4.39e-32  6.90e+01
7.05e+01  4.28e-32  6.94e+01
7.92e+01  4.18e-32  6.98e+01
8.90e+01  4.09e-32  7.01e+01
1.00e+02  4.03e-32  7.04e+01
