#ADAS data from Martin O'Mullane at n_e = 10^19 m^-3
#T[keV]  Lz[W m^3]  Z_av
1.00e-03  1.75e-36  9.60e-01
1.12e-03  6.71e-36  9.90e-01
1.26e-03  2.58e-35  9.99e-01
1.42e-03  8.54e-35  1.01e+00
1.59e-03  2.37e-34  1.07e+00
1.79e-03  5.19e-34  1.30e+00
2.01e-03  8.83e-34  1.68e+00
2.26e-03  1.57e-33  1.90e+00
2.54e-03  3.08e-33  2.00e+00
2.85e-03  5.94e-33  2.13e+00
3.20e-03  1.06e-32  2.41e+00
3.59e-03  1.74e-32  2.74e+00
4.04e-03  2.75e-32  2.98e+00
4.53e-03  4.13e-32  3.24e+00
5.09e-03  5.95e-32  3.58e+00
5.72e-03  8.28e-32  3.90e+00
6.43e-03  1.12e-31  4.19e+00
7.22e-03  1.48e-31  4.52e+00
8.11e-03  1.87e-31  4.78e+00
9.11e-03  2.27e-31  4.92e+00
1.02e-02  2.67e-31  5.00e+00
1.15e-02  3.05e-31  5.09e+00
1.29e-02  3.31e-31  5.31e+00
1.45e-02  3.23e-31  5.82e+00
1.63e-02  2.82e-31  6.44e+00
1.83e-02  2.51e-31  6.81e+00
2.06e-02  2.35e-31  6.98e+00
2.31e-02  2.26e-31  7.07e+00
2.60e-02  2.18e-31  7.14e+00
2.92e-02  2.09e-31  7.24e+00
3.27e-02  2.00e-31  7.37e+00
3.68e-02  1.93e-31  7.55e+00
4.13e-02  1.94e-31  7.81e+00
4.64e-02  2.05e-31  8.14e+00
5.21e-02  2.26e-31  8.55e+00
5.86e-02  2.52e-31  9.01e+00
6.58e-02  2.79e-31  9.52e+00
7.39e-02  2.99e-31  1.01e+01
8.30e-02  3.11e-31  1.06e+01
9.33e-02  3.11e-31  1.13e+01
1.05e-01  3.00e-31  1.20e+01
1.18e-01  2.76e-31  1.29e+01
1.32e-01  2.44e-31  1.38e+01
1.48e-01  2.18e-31  1.47e+01
1.67e-01  2.12e-31  1.54e+01
1.87e-01  2.29e-31  1.59e+01
2.10e-01  2.62e-31  1.63e+01
2.36e-01  3.00e-31  1.69e+01
2.66e-01  3.27e-31  1.79e+01
2.98e-01  3.18e-31  1.97e+01
3.35e-01  2.78e-31  2.14e+01
3.76e-01  2.40e-31  2.24e+01
4.23e-01  2.11e-31  2.30e+01
4.75e-01  1.87e-31  2.35e+01
5.34e-01  1.59e-31  2.43e+01
5.99e-01  1.17e-31  2.61e+01
6.73e-01  7.95e-32  2.89e+01
7.56e-01  6.99e-32  3.06e+01
8.50e-01  7.18e-32  3.14e+01
9.55e-01  7.63e-32  3.21e+01
1.07e+00  8.11e-32  3.27e+01
1.20e+00  8.55e-32  3.31e+01
1.35e+00  8.96e-32  3.35e+01
1.52e+00  9.36e-32  3.38e+01
1.71e+00  9.70e-32  3.42e+01
1.92e+00  9.87e-32  3.48e+01
2.15e+00  9.51e-32  3.58e+01
2.42e+00  7.92e-32  3.80e+01
2.72e+00  5.77e-32  4.02e+01
3.05e+00  4.45e-32  4.15e+01
3.43e+00  3.79e-32  4.20e+01
3.85e+00  3.43e-32  4.24e+01
4.33e+00  3.22e-32  4.27e+01
4.86e+00  3.12e-32  4.29e+01
5.46e+00  3.10e-32  4.32e+01
6.14e+00  3.14e-32  4.35e+01
6.89e+00  3.20e-32  4.38e+01
7.74e+00  3.25e-32  4.44e+01
8.70e+00  3.18e-32  4.53e+01
9.77e+00  2.93e-32  4.65e+01
1.10e+01  2.57e-32  4.77e+01
1.23e+01  2.25e-32  4.87e+01
1.38e+01  2.03e-32  4.94e+01
1.56e+01  1.88e-32  4.99e+01
1.75e+01  1.79e-32  5.03e+01
1.96e+01  1.73e-32  5.06e+01
2.21e+01  1.70e-32  5.08e+01
2.48e+01  1.69e-32  5.10e+01
2.78e+01  1.70e-32  5.12e+01
3.13e+01  1.72e-32  5.13e+01
3.51e+01  1.76e-32  5.14e+01
3.94e+01  1.80e-32  5.15e+01
4.43e+01  1.86e-32  5.16e+01
4.98e+01  1.93e-32  5.17e+01
5.59e+01  2.00e-32  5.18e+01
6.28e+01  2.07e-32  5.19e+01
7.05e+01  2.15e-32  5.20e+01
7.92e+01  2.24e-32  5.21e+01
8.90e+01  2.32e-32  5.22e+01
1.00e+02  2.41e-32  5.23e+01
