Mean charge during dwell time tau at ne=1E20m**-3 and Te[1-10000eV]
** <Z>
ne=1E20m**-3
     200           5 # of Te values, dwell times
Te[eV]
 1.000e+00 1.047e+00 1.097e+00 1.149e+00 1.203e+00 1.260e+00 1.320e+00 1.383e+00
 1.448e+00 1.517e+00 1.589e+00 1.664e+00 1.743e+00 1.825e+00 1.912e+00 2.002e+00
 2.097e+00 2.196e+00 2.300e+00 2.409e+00 2.524e+00 2.643e+00 2.768e+00 2.899e+00
 3.037e+00 3.181e+00 3.331e+00 3.489e+00 3.654e+00 3.827e+00 4.009e+00 4.199e+00
 4.398e+00 4.606e+00 4.824e+00 5.053e+00 5.292e+00 5.543e+00 5.805e+00 6.080e+00
 6.368e+00 6.670e+00 6.986e+00 7.317e+00 7.663e+00 8.026e+00 8.407e+00 8.805e+00
 9.222e+00 9.659e+00 1.012e+01 1.060e+01 1.110e+01 1.162e+01 1.217e+01 1.275e+01
 1.335e+01 1.399e+01 1.465e+01 1.534e+01 1.607e+01 1.683e+01 1.763e+01 1.846e+01
 1.934e+01 2.026e+01 2.121e+01 2.222e+01 2.327e+01 2.437e+01 2.553e+01 2.674e+01
 2.801e+01 2.933e+01 3.072e+01 3.218e+01 3.370e+01 3.530e+01 3.697e+01 3.872e+01
 4.055e+01 4.248e+01 4.449e+01 4.660e+01 4.880e+01 5.111e+01 5.354e+01 5.607e+01
 5.873e+01 6.151e+01 6.442e+01 6.748e+01 7.067e+01 7.402e+01 7.753e+01 8.120e+01
 8.504e+01 8.907e+01 9.329e+01 9.771e+01 1.023e+02 1.072e+02 1.123e+02 1.176e+02
 1.232e+02 1.290e+02 1.351e+02 1.415e+02 1.482e+02 1.552e+02 1.626e+02 1.703e+02
 1.783e+02 1.868e+02 1.956e+02 2.049e+02 2.146e+02 2.248e+02 2.354e+02 2.466e+02
 2.583e+02 2.705e+02 2.833e+02 2.967e+02 3.108e+02 3.255e+02 3.409e+02 3.571e+02
 3.740e+02 3.917e+02 4.103e+02 4.297e+02 4.501e+02 4.714e+02 4.937e+02 5.171e+02
 5.416e+02 5.672e+02 5.941e+02 6.223e+02 6.517e+02 6.826e+02 7.149e+02 7.488e+02
 7.843e+02 8.214e+02 8.603e+02 9.011e+02 9.438e+02 9.885e+02 1.035e+03 1.084e+03
 1.136e+03 1.190e+03 1.246e+03 1.305e+03 1.367e+03 1.431e+03 1.499e+03 1.570e+03
 1.645e+03 1.723e+03 1.804e+03 1.890e+03 1.979e+03 2.073e+03 2.171e+03 2.274e+03
 2.382e+03 2.495e+03 2.613e+03 2.736e+03 2.866e+03 3.002e+03 3.144e+03 3.293e+03
 3.449e+03 3.612e+03 3.783e+03 3.963e+03 4.150e+03 4.347e+03 4.553e+03 4.769e+03
 4.995e+03 5.231e+03 5.479e+03 5.738e+03 6.010e+03 6.295e+03 6.593e+03 6.906e+03
 7.233e+03 7.575e+03 7.934e+03 8.310e+03 8.704e+03 9.116e+03 9.548e+03 1.000e+04
Z for tau[ms]=    0.1
 1.510e-05 2.877e-05 5.478e-05 1.043e-04 1.984e-04 3.773e-04 7.176e-04 1.301e-03
 2.066e-03 3.281e-03 5.208e-03 8.260e-03 1.309e-02 2.069e-02 3.128e-02 4.542e-02
 6.567e-02 9.434e-02 1.343e-01 1.887e-01 2.606e-01 3.290e-01 4.020e-01 4.829e-01
 5.690e-01 6.574e-01 7.456e-01 8.318e-01 8.990e-01 9.693e-01 1.046e+00 1.131e+00
 1.227e+00 1.333e+00 1.438e+00 1.524e+00 1.611e+00 1.696e+00 1.780e+00 1.863e+00
 1.950e+00 2.027e+00 2.101e+00 2.181e+00 2.267e+00 2.359e+00 2.456e+00 2.556e+00
 2.634e+00 2.709e+00 2.785e+00 2.863e+00 2.945e+00 3.034e+00 3.127e+00 3.203e+00
 3.286e+00 3.375e+00 3.470e+00 3.571e+00 3.680e+00 3.784e+00 3.875e+00 3.971e+00
 4.073e+00 4.179e+00 4.292e+00 4.411e+00 4.515e+00 4.612e+00 4.712e+00 4.815e+00
 4.921e+00 5.029e+00 5.140e+00 5.228e+00 5.315e+00 5.403e+00 5.494e+00 5.587e+00
 5.684e+00 5.781e+00 5.864e+00 5.950e+00 6.040e+00 6.136e+00 6.235e+00 6.340e+00
 6.438e+00 6.526e+00 6.616e+00 6.708e+00 6.800e+00 6.891e+00 6.982e+00 7.055e+00
 7.121e+00 7.186e+00 7.248e+00 7.310e+00 7.370e+00 7.429e+00 7.474e+00 7.519e+00
 7.566e+00 7.614e+00 7.665e+00 7.719e+00 7.772e+00 7.818e+00 7.867e+00 7.920e+00
 7.977e+00 8.038e+00 8.104e+00 8.165e+00 8.221e+00 8.281e+00 8.344e+00 8.412e+00
 8.483e+00 8.559e+00 8.622e+00 8.684e+00 8.748e+00 8.816e+00 8.886e+00 8.959e+00
 9.035e+00 9.093e+00 9.153e+00 9.215e+00 9.279e+00 9.346e+00 9.414e+00 9.478e+00
 9.529e+00 9.582e+00 9.637e+00 9.692e+00 9.749e+00 9.807e+00 9.856e+00 9.899e+00
 9.942e+00 9.986e+00 1.003e+01 1.008e+01 1.012e+01 1.016e+01 1.019e+01 1.022e+01
 1.025e+01 1.028e+01 1.032e+01 1.035e+01 1.037e+01 1.039e+01 1.041e+01 1.043e+01
 1.045e+01 1.047e+01 1.049e+01 1.050e+01 1.051e+01 1.052e+01 1.053e+01 1.054e+01
 1.055e+01 1.056e+01 1.056e+01 1.056e+01 1.056e+01 1.056e+01 1.056e+01 1.056e+01
 1.056e+01 1.055e+01 1.054e+01 1.054e+01 1.053e+01 1.052e+01 1.051e+01 1.050e+01
 1.048e+01 1.047e+01 1.045e+01 1.044e+01 1.042e+01 1.041e+01 1.039e+01 1.037e+01
 1.035e+01 1.033e+01 1.030e+01 1.028e+01 1.026e+01 1.023e+01 1.021e+01 1.018e+01
Z for tau[ms]=    1.0
 1.447e-04 2.799e-04 5.382e-04 1.031e-03 1.969e-03 3.751e-03 7.132e-03 1.290e-02
 2.041e-02 3.219e-02 5.053e-02 7.873e-02 1.213e-01 1.836e-01 2.615e-01 3.518e-01
 4.581e-01 5.733e-01 6.863e-01 7.870e-01 8.726e-01 9.333e-01 9.916e-01 1.058e+00
 1.141e+00 1.243e+00 1.367e+00 1.505e+00 1.609e+00 1.707e+00 1.793e+00 1.870e+00
 1.941e+00 2.015e+00 2.093e+00 2.167e+00 2.254e+00 2.352e+00 2.459e+00 2.567e+00
 2.671e+00 2.751e+00 2.816e+00 2.879e+00 2.942e+00 3.010e+00 3.085e+00 3.171e+00
 3.247e+00 3.328e+00 3.416e+00 3.512e+00 3.616e+00 3.728e+00 3.845e+00 3.944e+00
 4.051e+00 4.167e+00 4.294e+00 4.432e+00 4.582e+00 4.729e+00 4.860e+00 4.995e+00
 5.134e+00 5.275e+00 5.418e+00 5.562e+00 5.686e+00 5.802e+00 5.921e+00 6.046e+00
 6.177e+00 6.317e+00 6.465e+00 6.591e+00 6.720e+00 6.853e+00 6.988e+00 7.122e+00
 7.252e+00 7.368e+00 7.456e+00 7.534e+00 7.603e+00 7.662e+00 7.715e+00 7.761e+00
 7.799e+00 7.830e+00 7.862e+00 7.894e+00 7.930e+00 7.970e+00 8.017e+00 8.064e+00
 8.113e+00 8.172e+00 8.240e+00 8.320e+00 8.413e+00 8.521e+00 8.613e+00 8.716e+00
 8.828e+00 8.952e+00 9.087e+00 9.234e+00 9.383e+00 9.510e+00 9.645e+00 9.787e+00
 9.936e+00 1.009e+01 1.025e+01 1.040e+01 1.054e+01 1.068e+01 1.083e+01 1.098e+01
 1.114e+01 1.130e+01 1.144e+01 1.158e+01 1.172e+01 1.186e+01 1.201e+01 1.216e+01
 1.231e+01 1.244e+01 1.256e+01 1.268e+01 1.281e+01 1.294e+01 1.306e+01 1.318e+01
 1.328e+01 1.338e+01 1.348e+01 1.358e+01 1.368e+01 1.377e+01 1.385e+01 1.392e+01
 1.399e+01 1.406e+01 1.413e+01 1.420e+01 1.426e+01 1.431e+01 1.436e+01 1.441e+01
