Mean charge during dwell time tau at ne=1E20m**-3 and Te[1-10000eV]
** <Z>
ne=1E20m**-3
     200           5 # of Te values, dwell times
Te[eV]
 1.000e+00 1.047e+00 1.097e+00 1.149e+00 1.203e+00 1.260e+00 1.320e+00 1.383e+00
 1.448e+00 1.517e+00 1.589e+00 1.664e+00 1.743e+00 1.825e+00 1.912e+00 2.002e+00
 2.097e+00 2.196e+00 2.300e+00 2.409e+00 2.524e+00 2.643e+00 2.768e+00 2.899e+00
 3.037e+00 3.181e+00 3.331e+00 3.489e+00 3.654e+00 3.827e+00 4.009e+00 4.199e+00
 4.398e+00 4.606e+00 4.824e+00 5.053e+00 5.292e+00 5.543e+00 5.805e+00 6.080e+00
 6.368e+00 6.670e+00 6.986e+00 7.317e+00 7.663e+00 8.026e+00 8.407e+00 8.805e+00
 9.222e+00 9.659e+00 1.012e+01 1.060e+01 1.110e+01 1.162e+01 1.217e+01 1.275e+01
 1.335e+01 1.399e+01 1.465e+01 1.534e+01 1.607e+01 1.683e+01 1.763e+01 1.846e+01
 1.934e+01 2.026e+01 2.121e+01 2.222e+01 2.327e+01 2.437e+01 2.553e+01 2.674e+01
 2.801e+01 2.933e+01 3.072e+01 3.218e+01 3.370e+01 3.530e+01 3.697e+01 3.872e+01
 4.055e+01 4.248e+01 4.449e+01 4.660e+01 4.880e+01 5.111e+01 5.354e+01 5.607e+01
 5.873e+01 6.151e+01 6.442e+01 6.748e+01 7.067e+01 7.402e+01 7.753e+01 8.120e+01
 8.504e+01 8.907e+01 9.329e+01 9.771e+01 1.023e+02 1.072e+02 1.123e+02 1.176e+02
 1.232e+02 1.290e+02 1.351e+02 1.415e+02 1.482e+02 1.552e+02 1.626e+02 1.703e+02
 1.783e+02 1.868e+02 1.956e+02 2.049e+02 2.146e+02 2.248e+02 2.354e+02 2.466e+02
 2.583e+02 2.705e+02 2.833e+02 2.967e+02 3.108e+02 3.255e+02 3.409e+02 3.571e+02
 3.740e+02 3.917e+02 4.103e+02 4.297e+02 4.501e+02 4.714e+02 4.937e+02 5.171e+02
 5.416e+02 5.672e+02 5.941e+02 6.223e+02 6.517e+02 6.826e+02 7.149e+02 7.488e+02
 7.843e+02 8.214e+02 8.603e+02 9.011e+02 9.438e+02 9.885e+02 1.035e+03 1.084e+03
 1.136e+03 1.190e+03 1.246e+03 1.305e+03 1.367e+03 1.431e+03 1.499e+03 1.570e+03
 1.645e+03 1.723e+03 1.804e+03 1.890e+03 1.979e+03 2.073e+03 2.171e+03 2.274e+03
 2.382e+03 2.495e+03 2.613e+03 2.736e+03 2.866e+03 3.002e+03 3.144e+03 3.293e+03
 3.449e+03 3.612e+03 3.783e+03 3.963e+03 4.150e+03 4.347e+03 4.553e+03 4.769e+03
 4.995e+03 5.231e+03 5.479e+03 5.738e+03 6.010e+03 6.295e+03 6.593e+03 6.906e+03
 7.233e+03 7.575e+03 7.934e+03 8.310e+03 8.704e+03 9.116e+03 9.548e+03 1.000e+04
Z for tau[ms]=    0.1
 5.765e-01 6.780e-01 7.654e-01 8.337e-01 8.826e-01 9.027e-01 9.197e-01 9.342e-01
 9.469e-01 9.584e-01 9.695e-01 9.810e-01 9.943e-01 1.011e+00 1.033e+00 1.064e+00
 1.090e+00 1.123e+00 1.164e+00 1.214e+00 1.273e+00 1.343e+00 1.421e+00 1.504e+00
 1.582e+00 1.638e+00 1.690e+00 1.737e+00 1.780e+00 1.816e+00 1.847e+00 1.873e+00
 1.894e+00 1.909e+00 1.920e+00 1.929e+00 1.937e+00 1.944e+00 1.951e+00 1.956e+00
 1.961e+00 1.966e+00 1.969e+00 1.972e+00 1.974e+00 1.976e+00 1.978e+00 1.979e+00
 1.981e+00 1.982e+00 1.984e+00 1.985e+00 1.986e+00 1.987e+00 1.987e+00 1.988e+00
 1.988e+00 1.989e+00 1.990e+00 1.990e+00 1.991e+00 1.992e+00 1.994e+00 1.995e+00
 1.997e+00 1.999e+00 2.001e+00 2.005e+00 2.009e+00 2.015e+00 2.023e+00 2.033e+00
 2.047e+00 2.058e+00 2.070e+00 2.085e+00 2.102e+00 2.122e+00 2.146e+00 2.173e+00
 2.204e+00 2.239e+00 2.279e+00 2.311e+00 2.340e+00 2.371e+00 2.404e+00 2.439e+00
 2.475e+00 2.513e+00 2.553e+00 2.594e+00 2.633e+00 2.663e+00 2.694e+00 2.726e+00
 2.758e+00 2.792e+00 2.826e+00 2.861e+00 2.892e+00 2.918e+00 2.945e+00 2.972e+00
 3.000e+00 3.029e+00 3.059e+00 3.089e+00 3.120e+00 3.152e+00 3.184e+00 3.217e+00
 3.238e+00 3.259e+00 3.281e+00 3.302e+00 3.324e+00 3.345e+00 3.367e+00 3.388e+00
 3.409e+00 3.430e+00 3.443e+00 3.456e+00 3.468e+00 3.481e+00 3.493e+00 3.505e+00
 3.517e+00 3.529e+00 3.541e+00 3.552e+00 3.559e+00 3.565e+00 3.571e+00 3.578e+00
 3.584e+00 3.590e+00 3.596e+00 3.602e+00 3.608e+00 3.612e+00 3.614e+00 3.617e+00
 3.619e+00 3.621e+00 3.623e+00 3.625e+00 3.627e+00 3.630e+00 3.632e+00 3.632e+00
 3.632e+00 3.631e+00 3.631e+00 3.631e+00 3.630e+00 3.630e+00 3.629e+00 3.629e+00
 3.629e+00 3.627e+00 3.625e+00 3.623e+00 3.621e+00 3.619e+00 3.617e+00 3.615e+00
 3.613e+00 3.611e+00 3.607e+00 3.604e+00 3.601e+00 3.597e+00 3.594e+00 3.591e+00
 3.587e+00 3.584e+00 3.580e+00 3.577e+00 3.573e+00 3.569e+00 3.565e+00 3.561e+00
 3.557e+00 3.552e+00 3.548e+00 3.544e+00 3.540e+00 3.535e+00 3.531e+00 3.526e+00
 3.521e+00 3.517e+00 3.512e+00 3.507e+00 3.502e+00 3.498e+00 3.493e+00 3.488e+00
Z for tau[ms]=    1.0
 9.413e-01 9.596e-01 9.728e-01 9.829e-01 9.917e-01 9.973e-01 1.004e+00 1.014e+00
 1.027e+00 1.047e+00 1.076e+00 1.119e+00 1.181e+00 1.266e+00 1.375e+00 1.503e+00
 1.587e+00 1.667e+00 1.739e+00 1.799e+00 1.847e+00 1.884e+00 1.913e+00 1.934e+00
 1.949e+00 1.958e+00 1.965e+00 1.971e+00 1.976e+00 1.980e+00 1.984e+00 1.987e+00
 1.989e+00 1.990e+00 1.992e+00 1.993e+00 1.993e+00 1.994e+00 1.995e+00 1.995e+00
 1.996e+00 1.996e+00 1.997e+00 1.997e+00 1.997e+00 1.997e+00 1.998e+00 1.998e+00
 1.998e+00 1.998e+00 1.998e+00 1.998e+00 1.999e+00 1.999e+00 1.999e+00 1.999e+00
 2.000e+00 2.001e+00 2.002e+00 2.005e+00 2.008e+00 2.014e+00 2.024e+00 2.036e+00
 2.048e+00 2.064e+00 2.086e+00 2.114e+00 2.149e+00 2.195e+00 2.251e+00 2.318e+00
 2.396e+00 2.449e+00 2.504e+00 2.561e+00 2.618e+00 2.674e+00 2.729e+00 2.782e+00
 2.833e+00 2.885e+00 2.937e+00 2.978e+00 3.015e+00 3.056e+00 3.099e+00 3.147e+00
 3.199e+00 3.255e+00 3.314e+00 3.377e+00 3.437e+00 3.482e+00 3.525e+00 3.568e+00
 3.609e+00 3.648e+00 3.685e+00 3.719e+00 3.745e+00 3.765e+00 3.783e+00 3.801e+00
 3.816e+00 3.831e+00 3.844e+00 3.856e+00 3.868e+00 3.878e+00 3.888e+00 3.896e+00
 3.901e+00 3.906e+00 3.911e+00 3.915e+00 3.920e+00 3.924e+00 3.927e+00 3.931e+00
 3.934e+00 3.937e+00 3.939e+00 3.941e+00 3.943e+00 3.944e+00 3.946e+00 3.948e+00
 3.949e+00 3.951e+00 3.952e+00 3.954e+00 3.954e+00 3.955e+00 3.956e+00 3.957e+00
 3.957e+00 3.958e+00 3.959e+00 3.959e+00 3.960e+00 3.961e+00 3.961e+00 3.961e+00
 3.961e+00 3.962e+00 3.962e+00 3.962e+00 3.962e+00 3.963e+00 3.963e+00 3.963e+00
