Mean charge during dwell time tau at ne=1E20m**-3 and Te[1-10000eV]
** <Z>
ne=1E20m**-3
     200           5 # of Te values, dwell times
Te[eV]
 1.000e+00 1.047e+00 1.097e+00 1.149e+00 1.203e+00 1.260e+00 1.320e+00 1.383e+00
 1.448e+00 1.517e+00 1.589e+00 1.664e+00 1.743e+00 1.825e+00 1.912e+00 2.002e+00
 2.097e+00 2.196e+00 2.300e+00 2.409e+00 2.524e+00 2.643e+00 2.768e+00 2.899e+00
 3.037e+00 3.181e+00 3.331e+00 3.489e+00 3.654e+00 3.827e+00 4.009e+00 4.199e+00
 4.398e+00 4.606e+00 4.824e+00 5.053e+00 5.292e+00 5.543e+00 5.805e+00 6.080e+00
 6.368e+00 6.670e+00 6.986e+00 7.317e+00 7.663e+00 8.026e+00 8.407e+00 8.805e+00
 9.222e+00 9.659e+00 1.012e+01 1.060e+01 1.110e+01 1.162e+01 1.217e+01 1.275e+01
 1.335e+01 1.399e+01 1.465e+01 1.534e+01 1.607e+01 1.683e+01 1.763e+01 1.846e+01
 1.934e+01 2.026e+01 2.121e+01 2.222e+01 2.327e+01 2.437e+01 2.553e+01 2.674e+01
 2.801e+01 2.933e+01 3.072e+01 3.218e+01 3.370e+01 3.530e+01 3.697e+01 3.872e+01
 4.055e+01 4.248e+01 4.449e+01 4.660e+01 4.880e+01 5.111e+01 5.354e+01 5.607e+01
 5.873e+01 6.151e+01 6.442e+01 6.748e+01 7.067e+01 7.402e+01 7.753e+01 8.120e+01
 8.504e+01 8.907e+01 9.329e+01 9.771e+01 1.023e+02 1.072e+02 1.123e+02 1.176e+02
 1.232e+02 1.290e+02 1.351e+02 1.415e+02 1.482e+02 1.552e+02 1.626e+02 1.703e+02
 1.783e+02 1.868e+02 1.956e+02 2.049e+02 2.146e+02 2.248e+02 2.354e+02 2.466e+02
 2.583e+02 2.705e+02 2.833e+02 2.967e+02 3.108e+02 3.255e+02 3.409e+02 3.571e+02
 3.740e+02 3.917e+02 4.103e+02 4.297e+02 4.501e+02 4.714e+02 4.937e+02 5.171e+02
 5.416e+02 5.672e+02 5.941e+02 6.223e+02 6.517e+02 6.826e+02 7.149e+02 7.488e+02
 7.843e+02 8.214e+02 8.603e+02 9.011e+02 9.438e+02 9.885e+02 1.035e+03 1.084e+03
 1.136e+03 1.190e+03 1.246e+03 1.305e+03 1.367e+03 1.431e+03 1.499e+03 1.570e+03
 1.645e+03 1.723e+03 1.804e+03 1.890e+03 1.979e+03 2.073e+03 2.171e+03 2.274e+03
 2.382e+03 2.495e+03 2.613e+03 2.736e+03 2.866e+03 3.002e+03 3.144e+03 3.293e+03
 3.449e+03 3.612e+03 3.783e+03 3.963e+03 4.150e+03 4.347e+03 4.553e+03 4.769e+03
 4.995e+03 5.231e+03 5.479e+03 5.738e+03 6.010e+03 6.295e+03 6.593e+03 6.906e+03
 7.233e+03 7.575e+03 7.934e+03 8.310e+03 8.704e+03 9.116e+03 9.548e+03 1.000e+04
Z for tau[ms]=    0.1
 2.017e-02 2.936e-02 4.254e-02 6.137e-02 8.802e-02 1.251e-01 1.758e-01 2.428e-01
 3.277e-01 4.216e-01 4.991e-01 5.784e-01 6.553e-01 7.255e-01 7.859e-01 8.354e-01
 8.648e-01 8.900e-01 9.119e-01 9.316e-01 9.504e-01 9.696e-01 9.912e-01 1.017e+00
 1.048e+00 1.075e+00 1.108e+00 1.147e+00 1.195e+00 1.251e+00 1.317e+00 1.390e+00
 1.470e+00 1.553e+00 1.634e+00 1.704e+00 1.750e+00 1.793e+00 1.832e+00 1.868e+00
 1.904e+00 1.940e+00 1.979e+00 2.010e+00 2.045e+00 2.085e+00 2.131e+00 2.183e+00
 2.243e+00 2.310e+00 2.379e+00 2.435e+00 2.493e+00 2.553e+00 2.614e+00 2.676e+00
 2.739e+00 2.803e+00 2.868e+00 2.926e+00 2.977e+00 3.029e+00 3.084e+00 3.141e+00
 3.201e+00 3.258e+00 3.304e+00 3.350e+00 3.397e+00 3.443e+00 3.488e+00 3.532e+00
 3.574e+00 3.615e+00 3.646e+00 3.669e+00 3.691e+00 3.711e+00 3.731e+00 3.749e+00
 3.766e+00 3.782e+00 3.797e+00 3.811e+00 3.824e+00 3.834e+00 3.842e+00 3.849e+00
 3.856e+00 3.863e+00 3.870e+00 3.876e+00 3.883e+00 3.888e+00 3.893e+00 3.898e+00
 3.904e+00 3.910e+00 3.917e+00 3.925e+00 3.932e+00 3.939e+00 3.947e+00 3.955e+00
 3.965e+00 3.976e+00 3.988e+00 4.002e+00 4.018e+00 4.032e+00 4.046e+00 4.062e+00
 4.080e+00 4.099e+00 4.120e+00 4.139e+00 4.157e+00 4.176e+00 4.196e+00 4.218e+00
 4.241e+00 4.265e+00 4.291e+00 4.318e+00 4.339e+00 4.359e+00 4.379e+00 4.400e+00
 4.422e+00 4.444e+00 4.467e+00 4.491e+00 4.515e+00 4.540e+00 4.566e+00 4.585e+00
 4.603e+00 4.621e+00 4.639e+00 4.657e+00 4.676e+00 4.695e+00 4.711e+00 4.724e+00
 4.738e+00 4.751e+00 4.765e+00 4.778e+00 4.792e+00 4.806e+00 4.816e+00 4.825e+00
 4.834e+00 4.843e+00 4.852e+00 4.861e+00 4.870e+00 4.879e+00 4.888e+00 4.894e+00
 4.899e+00 4.905e+00 4.910e+00 4.916e+00 4.922e+00 4.925e+00 4.929e+00 4.932e+00
 4.935e+00 4.939e+00 4.942e+00 4.945e+00 4.949e+00 4.952e+00 4.953e+00 4.954e+00
 4.955e+00 4.956e+00 4.956e+00 4.957e+00 4.958e+00 4.959e+00 4.960e+00 4.961e+00
 4.961e+00 4.961e+00 4.960e+00 4.960e+00 4.959e+00 4.958e+00 4.958e+00 4.957e+00
 4.956e+00 4.955e+00 4.953e+00 4.952e+00 4.951e+00 4.949e+00 4.948e+00 4.946e+00
Z for tau[ms]=    1.0
 1.679e-01 2.335e-01 3.167e-01 4.165e-01 5.270e-01 6.376e-01 7.362e-01 8.146e-01
 8.721e-01 9.102e-01 9.318e-01 9.487e-01 9.624e-01 9.743e-01 9.858e-01 9.991e-01
 1.011e+00 1.028e+00 1.051e+00 1.083e+00 1.129e+00 1.193e+00 1.278e+00 1.384e+00
 1.494e+00 1.574e+00 1.651e+00 1.721e+00 1.782e+00 1.832e+00 1.873e+00 1.907e+00
 1.937e+00 1.965e+00 1.997e+00 2.033e+00 2.065e+00 2.106e+00 2.157e+00 2.222e+00
 2.300e+00 2.391e+00 2.493e+00 2.571e+00 2.647e+00 2.722e+00 2.793e+00 2.861e+00
 2.930e+00 3.003e+00 3.076e+00 3.138e+00 3.205e+00 3.278e+00 3.356e+00 3.437e+00
 3.518e+00 3.597e+00 3.669e+00 3.724e+00 3.764e+00 3.799e+00 3.830e+00 3.855e+00
 3.877e+00 3.895e+00 3.906e+00 3.917e+00 3.926e+00 3.934e+00 3.942e+00 3.948e+00
 3.954e+00 3.959e+00 3.962e+00 3.965e+00 3.968e+00 3.970e+00 3.972e+00 3.974e+00
 3.976e+00 3.978e+00 3.980e+00 3.983e+00 3.985e+00 3.988e+00 3.991e+00 3.995e+00
 3.999e+00 4.005e+00 4.013e+00 4.024e+00 4.037e+00 4.049e+00 4.065e+00 4.084e+00
 4.107e+00 4.135e+00 4.170e+00 4.210e+00 4.251e+00 4.289e+00 4.331e+00 4.378e+00
 4.428e+00 4.484e+00 4.544e+00 4.608e+00 4.676e+00 4.734e+00 4.788e+00 4.845e+00
 4.903e+00 4.963e+00 5.025e+00 5.079e+00 5.125e+00 5.172e+00 5.219e+00 5.266e+00
 5.313e+00 5.359e+00 5.404e+00 5.447e+00 5.479e+00 5.506e+00 5.532e+00 5.558e+00
 5.582e+00 5.605e+00 5.628e+00 5.649e+00 5.669e+00 5.689e+00 5.707e+00 5.720e+00
 5.731e+00 5.741e+00 5.752e+00 5.761e+00 5.771e+00 5.780e+00 5.787e+00 5.793e+00
 5.798e+00 5.804e+00 5.809e+00 5.814e+00 5.819e+00 5.824e+00 5.828e+00 5.831e+00
