Mean quadratic charge as a function dwell time.
Temperature :      1.0 -  40000.0 eV
Density     : 1.00e+20m-3
   200     5  # Te values, dwell time

Source data:
acd : /home/adas/adas/adf11/acd96/acd96_ne.dat
scd : /home/adas/adas/adf11/scd96/scd96_ne.dat
plt : /home/adas/adas/adf11/plt96/plt96_ne.dat
prb : /home/adas/adas/adf11/prb96/prb96_ne.dat

Te[eV]
 1.000e+00 1.055e+00 1.112e+00 1.173e+00 1.237e+00 1.305e+00 1.376e+00 1.452e+00
 1.531e+00 1.615e+00 1.703e+00 1.796e+00 1.895e+00 1.998e+00 2.107e+00 2.223e+00
 2.344e+00 2.473e+00 2.608e+00 2.750e+00 2.901e+00 3.059e+00 3.227e+00 3.403e+00
 3.589e+00 3.786e+00 3.993e+00 4.211e+00 4.441e+00 4.684e+00 4.941e+00 5.211e+00
 5.496e+00 5.796e+00 6.113e+00 6.448e+00 6.800e+00 7.172e+00 7.565e+00 7.978e+00
 8.415e+00 8.875e+00 9.360e+00 9.872e+00 1.041e+01 1.098e+01 1.158e+01 1.222e+01
 1.288e+01 1.359e+01 1.433e+01 1.512e+01 1.594e+01 1.681e+01 1.773e+01 1.870e+01
 1.973e+01 2.081e+01 2.194e+01 2.314e+01 2.441e+01 2.574e+01 2.715e+01 2.864e+01
 3.020e+01 3.186e+01 3.360e+01 3.544e+01 3.737e+01 3.942e+01 4.157e+01 4.385e+01
 4.625e+01 4.877e+01 5.144e+01 5.426e+01 5.722e+01 6.035e+01 6.365e+01 6.713e+01
 7.081e+01 7.468e+01 7.876e+01 8.307e+01 8.761e+01 9.241e+01 9.746e+01 1.028e+02
 1.084e+02 1.143e+02 1.206e+02 1.272e+02 1.341e+02 1.415e+02 1.492e+02 1.574e+02
 1.660e+02 1.751e+02 1.846e+02 1.947e+02 2.054e+02 2.166e+02 2.285e+02 2.410e+02
 2.542e+02 2.681e+02 2.827e+02 2.982e+02 3.145e+02 3.317e+02 3.498e+02 3.690e+02
 3.891e+02 4.104e+02 4.329e+02 4.565e+02 4.815e+02 5.078e+02 5.356e+02 5.649e+02
 5.958e+02 6.284e+02 6.628e+02 6.990e+02 7.373e+02 7.776e+02 8.201e+02 8.650e+02
 9.123e+02 9.622e+02 1.015e+03 1.070e+03 1.129e+03 1.191e+03 1.256e+03 1.324e+03
 1.397e+03 1.473e+03 1.554e+03 1.639e+03 1.728e+03 1.823e+03 1.923e+03 2.028e+03
 2.139e+03 2.256e+03 2.379e+03 2.509e+03 2.646e+03 2.791e+03 2.944e+03 3.105e+03
 3.274e+03 3.454e+03 3.642e+03 3.842e+03 4.052e+03 4.273e+03 4.507e+03 4.754e+03
 5.014e+03 5.288e+03 5.577e+03 5.882e+03 6.204e+03 6.543e+03 6.901e+03 7.278e+03
 7.676e+03 8.096e+03 8.539e+03 9.006e+03 9.499e+03 1.002e+04 1.057e+04 1.114e+04
 1.175e+04 1.240e+04 1.307e+04 1.379e+04 1.454e+04 1.534e+04 1.618e+04 1.706e+04
 1.800e+04 1.898e+04 2.002e+04 2.111e+04 2.227e+04 2.349e+04 2.477e+04 2.612e+04
 2.755e+04 2.906e+04 3.065e+04 3.233e+04 3.409e+04 3.596e+04 3.793e+04 4.000e+04
sqrt(<Z^2>) for tau[ms]=    0.1
 2.006e-03 3.194e-03 4.966e-03 7.545e-03 1.122e-02 1.633e-02 2.330e-02 3.262e-02
 4.486e-02 6.065e-02 8.065e-02 1.056e-01 1.360e-01 1.726e-01 2.157e-01 2.653e-01
 3.210e-01 3.818e-01 4.462e-01 5.122e-01 5.777e-01 6.409e-01 7.005e-01 7.562e-01
 8.083e-01 8.584e-01 9.082e-01 9.600e-01 1.016e+00 1.077e+00 1.144e+00 1.216e+00
 1.291e+00 1.368e+00 1.444e+00 1.517e+00 1.585e+00 1.647e+00 1.704e+00 1.756e+00
 1.805e+00 1.853e+00 1.901e+00 1.952e+00 2.008e+00 2.071e+00 2.140e+00 2.216e+00
 2.297e+00 2.383e+00 2.472e+00 2.564e+00 2.657e+00 2.754e+00 2.852e+00 2.953e+00
 3.057e+00 3.163e+00 3.270e+00 3.378e+00 3.487e+00 3.596e+00 3.706e+00 3.815e+00
 3.923e+00 4.029e+00 4.134e+00 4.237e+00 4.338e+00 4.438e+00 4.536e+00 4.634e+00
 4.733e+00 4.833e+00 4.936e+00 5.041e+00 5.149e+00 5.256e+00 5.363e+00 5.467e+00
 5.567e+00 5.661e+00 5.750e+00 5.835e+00 5.915e+00 5.993e+00 6.069e+00 6.144e+00
 6.217e+00 6.289e+00 6.359e+00 6.427e+00 6.492e+00 6.555e+00 6.615e+00 6.673e+00
 6.727e+00 6.779e+00 6.828e+00 6.875e+00 6.920e+00 6.962e+00 7.002e+00 7.039e+00
 7.074e+00 7.106e+00 7.136e+00 7.163e+00 7.188e+00 7.211e+00 7.233e+00 7.253e+00
