 Y7_=_integral_of_radiation_loss_from_impurities_[MW]
 Y8_=_integral_of_radiation_loss_from_hydrogenic_species_[MW]
 Y9_=_integral_of_power_loss_due_to_charge_exchange_[MW]
 Y10=_integral_of_power_loss_due_to_electron_impact_ionisation_[MW]
 qconv=_Convected_power_density_through_a_surface_perpendicular_to_B_[W/m2]
 qcond=_Conducted_power_density_through_a_surface_perpendicular_to_B_[W/m2]
 im_rad=_Impurity_radiation_[W/m2]
 step   x//B_[m]     te_[eV]  ne/1e20/m3    Pth_[Pa] Ptotal_[Pa]     v_[m/s]       mach   n0/1e20/m3   Power_[W]   perp_area   qtot_W/m2  qconv_W/m2  qcond_W/m2     CX_W/m3    Ion_W/m3  H_rad_W/m3 im_rad_W/m3          Y7          Y8          Y9         Y10          He          Be          C_          N_          O_          Ne          Si          Ar          Fe          Ni          Kr          Xe          W_ n01/1e20/m3 n02/1e20m-3        nv24      v/ms-1
    0    0.00000  2.000E+000  1.814E+001  1.162E+003  2.322E+003 -1.241E+004  9.990E-001  2.234E+001  4.580E+006  9.405E-002  4.869E+007  4.327E+007  5.425E+006  9.540E+009  1.182E+009  5.199E+008  1.236E+007  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.018E+006  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.023E+007  1.048E+005  2.031E+001  2.031E+000 -2.251E+001 -1.241E+004
    1    0.00020  2.175E+000  2.659E+001  1.853E+003  2.633E+003 -8.405E+003  6.487E-001  2.207E+001  4.881E+006  9.405E-002  5.190E+007  4.222E+007  9.679E+006  1.567E+010  2.650E+009  9.632E+008  4.717E+007  5.576E-004  1.422E-002  2.494E-001  3.709E-002  8.969E+006  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  3.789E+007  3.151E+005  2.004E+001  2.028E+000 -2.235E+001 -8.405E+003
    2    0.00021  2.188E+000  2.688E+001  1.885E+003  2.655E+003 -8.307E+003  6.393E-001  2.205E+001  4.906E+006  9.405E-002  5.217E+007  4.234E+007  9.830E+006  1.596E+010  2.752E+009  9.923E+008  5.007E+007  6.209E-004  1.549E-002  2.700E-001  4.060E-002  9.613E+006  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  4.013E+007  3.303E+005  2.002E+001  2.028E+000 -2.233E+001 -8.307E+003
    3    0.00023  2.201E+000  2.719E+001  1.918E+003  2.678E+003 -8.208E+003  6.297E-001  2.202E+001  4.934E+006  9.405E-002  5.246E+007  4.247E+007  9.993E+006  1.627E+010  2.863E+009  1.024E+009  5.331E+007  6.928E-004  1.689E-002  2.924E-001  4.451E-002  1.034E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  4.262E+007  3.469E+005  1.999E+001  2.028E+000 -2.232E+001 -8.208E+003
    4    0.00024  2.215E+000  2.750E+001  1.952E+003  2.703E+003 -8.107E+003  6.200E-001  2.199E+001  4.965E+006  9.405E-002  5.279E+007  4.262E+007  1.017E+007  1.660E+010  2.984E+009  1.058E+009  5.693E+007  7.747E-004  1.844E-002  3.169E-001  4.886E-002  1.116E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  4.540E+007  3.652E+005  1.996E+001  2.028E+000 -2.230E+001 -8.107E+003
    5    0.00026  2.231E+000  2.783E+001  1.989E+003  2.730E+003 -8.005E+003  6.100E-001  2.195E+001  4.998E+006  9.405E-002  5.314E+007  4.277E+007  1.037E+007  1.694E+010  3.117E+009  1.094E+009  6.089E+007  8.684E-004  2.015E-002  3.435E-001  5.371E-002  1.207E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  4.843E+007  3.860E+005  1.992E+001  2.027E+000 -2.228E+001 -8.005E+003
    6    0.00028  2.247E+000  2.816E+001  2.028E+003  2.758E+003 -7.901E+003  5.999E-001  2.191E+001  5.034E+006  9.405E-002  5.353E+007  4.295E+007  1.058E+007  1.730E+010  3.263E+009  1.134E+009  6.524E+007  9.758E-004  2.205E-002  3.727E-001  5.913E-002  1.308E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  5.175E+007  4.098E+005  1.989E+001  2.027E+000 -2.225E+001 -7.901E+003
    7    0.00030  2.265E+000  2.851E+001  2.069E+003  2.789E+003 -7.796E+003  5.896E-001  2.187E+001  5.075E+006  9.405E-002  5.396E+007  4.313E+007  1.082E+007  1.769E+010  3.423E+009  1.177E+009  7.013E+007  1.099E-003  2.415E-002  4.045E-001  6.521E-002  1.423E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  5.546E+007  4.363E+005  1.984E+001  2.026E+000 -2.223E+001 -7.796E+003
    8    0.00032  2.284E+000  2.887E+001  2.113E+003  2.821E+003 -7.689E+003  5.791E-001  2.182E+001  5.119E+006  9.405E-002  5.443E+007  4.334E+007  1.109E+007  1.809E+010  3.600E+009  1.224E+009  7.565E+007  1.241E-003  2.648E-002  4.393E-001  7.204E-002  1.555E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  5.963E+007  4.658E+005  1.979E+001  2.026E+000 -2.220E+001 -7.689E+003
    9    0.00034  2.304E+000  2.923E+001  2.159E+003  2.856E+003 -7.581E+003  5.685E-001  2.176E+001  5.167E+006  9.405E-002  5.494E+007  4.356E+007  1.138E+007  1.852E+010  3.796E+009  1.275E+009  8.191E+007  1.405E-003  2.908E-002  4.773E-001  7.972E-002  1.707E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  6.434E+007  4.988E+005  1.974E+001  2.025E+000 -2.216E+001 -7.581E+003
